beta,delta_chi2,chi2
0.0,0.0,26.62758773899947
0.010526315789473684,-8.307623948561673,18.319963790437797
0.021052631578947368,23.045041849320807,49.67262958832028
0.031578947368421054,181.1544928517279,207.78208059072736
0.042105263157894736,465.2252036242681,491.85279136326756
0.05263157894736842,789.2970791198773,815.9246668588768
0.06315789473684211,1066.0171074745886,1092.644695213588
0.07368421052631578,1258.1601505260785,1284.787738265078
0.08421052631578947,1372.3660304191685,1398.993618158168
0.09473684210526316,1432.4950254989071,1459.1226132379065
0.10526315789473684,1461.1914504132624,1487.8190381522618
0.11578947368421053,1473.7986064529116,1500.426194191911
0.12631578947368421,1478.949856199516,1505.5774439385154
0.1368421052631579,1480.921167598209,1507.5487553372084
0.14736842105263157,1481.6313528414707,1508.2589405804702
0.15789473684210525,1481.873242000692,1508.5008297396914
0.16842105263157894,1481.9514602150252,1508.5790479540246
0.17894736842105263,1481.9755875864191,1508.6031753254185
0.18947368421052632,1481.9827290926178,1508.6103168316172
0.2,1481.9847728871182,1508.6123606261176
