dm2,tan2theta,chi2
9.999999999999999124e-06,9.999999999999999167e-02,1.245772797265000463e+03
9.999999999999999124e-06,1.291549665014883885e-01,1.246903267462392023e+03
9.999999999999999124e-06,1.668100537200058742e-01,9.094222042993285413e+02
9.999999999999999124e-06,2.154434690031883370e-01,5.148457173244948990e+02
9.999999999999999124e-06,2.782559402207124277e-01,2.981222211317655706e+02
9.999999999999999124e-06,3.593813663804627523e-01,9.893007727084025760e+01
9.999999999999999124e-06,4.641588833612778631e-01,1.483767808855536252e+01
9.999999999999999124e-06,5.994842503189408145e-01,1.105483082414628342e+02
9.999999999999999124e-06,7.742636826811268858e-01,4.557719086622442433e+02
9.999999999999999124e-06,1.000000000000000000e+00,1.071909295451464004e+03
1.291549665014882683e-05,9.999999999999999167e-02,1.249026184110789700e+03
1.291549665014882683e-05,1.291549665014883885e-01,1.125328631110772449e+03
1.291549665014882683e-05,1.668100537200058742e-01,9.323175823391266022e+02
1.291549665014882683e-05,2.154434690031883370e-01,4.977579325614854611e+02
1.291549665014882683e-05,2.782559402207124277e-01,2.462405422027995883e+02
1.291549665014882683e-05,3.593813663804627523e-01,9.386922787416884262e+01
1.291549665014882683e-05,4.641588833612778631e-01,1.380650842738911699e+01
1.291549665014882683e-05,5.994842503189408145e-01,1.161766657103317613e+02
1.291549665014882683e-05,7.742636826811268858e-01,4.618111447869470680e+02
1.291549665014882683e-05,1.000000000000000000e+00,1.072852355551284518e+03
1.668100537200059254e-05,9.999999999999999167e-02,1.425035258548711681e+03
1.668100537200059254e-05,1.291549665014883885e-01,9.861674675486923434e+02
1.668100537200059254e-05,1.668100537200058742e-01,8.133504003854651501e+02
1.668100537200059254e-05,2.154434690031883370e-01,4.983389464112487985e+02
1.668100537200059254e-05,2.782559402207124277e-01,2.147400689321301854e+02
1.668100537200059254e-05,3.593813663804627523e-01,7.960670221850152473e+01
1.668100537200059254e-05,4.641588833612778631e-01,1.464134379657739693e+01
1.668100537200059254e-05,5.994842503189408145e-01,1.248615329228483546e+02
1.668100537200059254e-05,7.742636826811268858e-01,4.672657246312546704e+02
1.668100537200059254e-05,1.000000000000000000e+00,1.071319514918305686e+03
2.154434690031881982e-05,9.999999999999999167e-02,1.240378304770380282e+03
2.154434690031881982e-05,1.291549665014883885e-01,1.009557312593749430e+03
2.154434690031881982e-05,1.668100537200058742e-01,7.387228282174529568e+02
2.154434690031881982e-05,2.154434690031883370e-01,4.785146608359646621e+02
2.154434690031881982e-05,2.782559402207124277e-01,2.161972248227667421e+02
2.154434690031881982e-05,3.593813663804627523e-01,6.385811864094403489e+01
2.154434690031881982e-05,4.641588833612778631e-01,1.609452495377746217e+01
2.154434690031881982e-05,5.994842503189408145e-01,1.368357256287887083e+02
2.154434690031881982e-05,7.742636826811268858e-01,4.779776451857007942e+02
2.154434690031881982e-05,1.000000000000000000e+00,1.071892528987113792e+03
2.782559402207125638e-05,9.999999999999999167e-02,9.731613979928405342e+02
2.782559402207125638e-05,1.291549665014883885e-01,9.080397490887197591e+02
2.782559402207125638e-05,1.668100537200058742e-01,6.328827320553914433e+02
2.782559402207125638e-05,2.154434690031883370e-01,4.111431294747207517e+02
2.782559402207125638e-05,2.782559402207124277e-01,1.820204526210432903e+02
2.782559402207125638e-05,3.593813663804627523e-01,4.618341051995625435e+01
2.782559402207125638e-05,4.641588833612778631e-01,2.133271397108828893e+01
2.782559402207125638e-05,5.994842503189408145e-01,1.538796624247432874e+02
2.782559402207125638e-05,7.742636826811268858e-01,4.949232266751728844e+02
2.782559402207125638e-05,1.000000000000000000e+00,1.071577080817546857e+03
3.593813663804625562e-05,9.999999999999999167e-02,7.846202165302469211e+02
3.593813663804625562e-05,1.291549665014883885e-01,6.959835033042288615e+02
3.593813663804625562e-05,1.668100537200058742e-01,4.919625124253834088e+02
3.593813663804625562e-05,2.154434690031883370e-01,3.048200182257464235e+02
3.593813663804625562e-05,2.782559402207124277e-01,1.343956737912294557e+02
3.593813663804625562e-05,3.593813663804627523e-01,2.831308887068197322e+01
3.593813663804625562e-05,4.641588833612778631e-01,3.322085715319513355e+01
3.593813663804625562e-05,5.994842503189408145e-01,1.832690664631484481e+02
3.593813663804625562e-05,7.742636826811268858e-01,5.194224460578326443e+02
3.593813663804625562e-05,1.000000000000000000e+00,1.071253208469673154e+03
4.641588833612782467e-05,9.999999999999999167e-02,6.468660126595070778e+02
4.641588833612782467e-05,1.291549665014883885e-01,4.826955572158325367e+02
4.641588833612782467e-05,1.668100537200058742e-01,3.289685983478759681e+02
4.641588833612782467e-05,2.154434690031883370e-01,1.687432064116775337e+02
4.641588833612782467e-05,2.782559402207124277e-01,7.115038312615091343e+01
4.641588833612782467e-05,3.593813663804627523e-01,1.773099458619899949e+01
4.641588833612782467e-05,4.641588833612778631e-01,5.910134704984132270e+01
4.641588833612782467e-05,5.994842503189408145e-01,2.257721448803509077e+02
