Te_MeV,EventRate_per_year_per_kt_per_0.5MeV
3.740000000000000213e+00,1.285217846090740750e+02
4.240000000000000213e+00,1.187678773278720001e+02
4.740000000000000213e+00,1.086354825615581490e+02
5.240000000000000213e+00,9.828161671128812316e+01
5.740000000000000213e+00,8.787527420438181025e+01
6.240000000000000213e+00,7.758867772525442774e+01
6.740000000000000213e+00,6.758940496277064369e+01
7.240000000000000213e+00,5.803356074661274278e+01
7.740000000000000213e+00,4.905984268600877130e+01
8.240000000000000213e+00,4.078449308178240074e+01
8.740000000000000213e+00,3.329725644334782686e+01
9.240000000000000213e+00,2.665844441980653912e+01
9.740000000000000213e+00,2.089730508730552572e+01
1.024000000000000021e+01,1.601191270528855526e+01
1.074000000000000021e+01,1.197076166747160997e+01
1.124000000000000021e+01,8.716157743796982160e+00
1.174000000000000021e+01,6.169322179428538888e+00
1.224000000000000021e+01,4.236877567318800608e+00
1.274000000000000021e+01,2.818124802219645453e+00
1.324000000000000021e+01,1.812320684772271040e+00
1.399000000000000021e+01,1.798476753120768601e+00
1.499000000000000021e+01,6.033680555551904634e-01
1.748999999999999844e+01,2.277275440161675435e-01
