Te_MeV,EventRate_per_year_per_kt_per_0.5MeV
3.740000000000000213e+00,9.654616046715599964e+01
4.240000000000000213e+00,8.888410910024951761e+01
4.740000000000000213e+00,8.103497235192033088e+01
5.240000000000000213e+00,7.310339948288796563e+01
5.740000000000000213e+00,6.520334671436495455e+01
6.240000000000000213e+00,5.745081859769154420e+01
6.740000000000000213e+00,4.995863047081282815e+01
7.240000000000000213e+00,4.283209537345106099e+01
7.740000000000000213e+00,3.616487919949960173e+01
8.240000000000000213e+00,3.003521790639464228e+01
8.740000000000000213e+00,2.450283530420110978e+01
9.240000000000000213e+00,1.960673995426352434e+01
9.740000000000000213e+00,1.536405656158929034e+01
1.024000000000000021e+01,1.176999261104636396e+01
1.074000000000000021e+01,8.798997661839132789e+00
1.124000000000000021e+01,6.407146259543343270e+00
1.174000000000000021e+01,4.535701742919136414e+00
1.224000000000000021e+01,3.115668471221332503e+00
1.274000000000000021e+01,2.072947033306070441e+00
1.324000000000000021e+01,1.333538622388318107e+00
1.399000000000000021e+01,1.324038707067153764e+00
1.499000000000000021e+01,4.445819307985324209e-01
1.748999999999999844e+01,1.680264697832335452e-01
