Te_MeV,EventRate_per_year_per_kt_per_0.5MeV
3.740000000000000213e+00,1.228090785196234691e+02
4.240000000000000213e+00,1.131512114363330710e+02
4.740000000000000213e+00,1.031575946384541140e+02
5.240000000000000213e+00,9.299325566602584558e+01
5.740000000000000213e+00,8.283194430810183917e+01
6.240000000000000213e+00,7.284645659854028565e+01
6.740000000000000213e+00,6.320043854387503757e+01
7.240000000000000213e+00,5.404179501105960526e+01
7.740000000000000213e+00,4.549747505235471579e+01
8.240000000000000213e+00,3.766950739033669748e+01
8.740000000000000213e+00,3.063225712361567687e+01
9.240000000000000213e+00,2.443085410965293391e+01
9.740000000000000213e+00,1.908083845651988497e+01
1.024000000000000021e+01,1.456910621242213288e+01
1.074000000000000021e+01,1.085623692664328033e+01
1.124000000000000021e+01,7.880232746118170262e+00
1.174000000000000021e+01,5.561567592397712367e+00
1.224000000000000021e+01,3.809249477331591027e+00
1.274000000000000021e+01,2.527388760953274360e+00
1.324000000000000021e+01,1.621604270029748385e+00
1.399000000000000021e+01,1.604588022606207032e+00
1.499000000000000021e+01,5.363262024945850692e-01
1.748999999999999844e+01,2.015858581478969236e-01
