Te_MeV,EventRate_per_bin
3.740000000000000213e+00,1.689840511159481321e+04
4.240000000000000213e+00,1.575569580032800877e+04
4.740000000000000213e+00,1.438814173173223753e+04
5.240000000000000213e+00,1.289915116470730754e+04
5.740000000000000213e+00,1.138380730548086831e+04
6.240000000000000213e+00,9.908243135634702412e+03
6.740000000000000213e+00,8.514677597031301048e+03
7.240000000000000213e+00,7.228360226058393891e+03
7.740000000000000213e+00,6.061245169318046464e+03
8.240000000000000213e+00,5.015794591026954549e+03
8.740000000000000213e+00,4.089490536207729292e+03
9.240000000000000213e+00,3.278288681251224261e+03
9.740000000000000213e+00,2.578075798021092851e+03
1.024000000000000021e+01,1.984524182860216797e+03
1.074000000000000021e+01,1.492239479573395556e+03
1.124000000000000021e+01,1.094011146105381385e+03
1.174000000000000021e+01,7.806128470562301800e+02
1.224000000000000021e+01,5.411809422735407225e+02
1.274000000000000021e+01,3.639468385424416397e+02
1.324000000000000021e+01,2.370677665707082440e+02
1.399000000000000021e+01,2.403411214967194383e+02
1.499000000000000021e+01,8.391470647607822286e+01
1.748999999999999844e+01,3.497740499094165045e+01
