Te_MeV,EventRate_per_bin
3.740000000000000213e+00,2.116772011739818845e+04
4.240000000000000213e+00,1.986948862348675902e+04
4.740000000000000213e+00,1.831839224508438201e+04
5.240000000000000213e+00,1.662794772905093123e+04
5.740000000000000213e+00,1.489123165166596664e+04
6.240000000000000213e+00,1.316542608082517472e+04
6.740000000000000213e+00,1.148628551663654434e+04
7.240000000000000213e+00,9.880932622404674476e+03
7.740000000000000213e+00,8.372243167775684924e+03
8.240000000000000213e+00,6.979256590026598133e+03
8.740000000000000213e+00,5.716713331894371549e+03
9.240000000000000213e+00,4.594608842217628990e+03
9.740000000000000213e+00,3.617934980986920891e+03
1.024000000000000021e+01,2.786653818861844229e+03
1.074000000000000021e+01,2.095935023629052012e+03
1.124000000000000021e+01,1.536673076004988843e+03
1.174000000000000021e+01,1.096274976451368275e+03
1.224000000000000021e+01,7.596720515912411429e+02
1.274000000000000021e+01,5.104689240322381352e+02
1.324000000000000021e+01,3.321099727741526522e+02
1.399000000000000021e+01,3.359099456809976800e+02
1.499000000000000021e+01,1.167839059172980427e+02
1.748999999999999844e+01,4.844390188740652547e+01
