Te_MeV,EventRate_per_bin
3.740000000000000213e+00,2.013846252276821906e+04
4.240000000000000213e+00,1.885841718319286520e+04
4.740000000000000213e+00,1.732949722200341785e+04
5.240000000000000213e+00,1.566612670471992533e+04
5.740000000000000213e+00,1.396407550437976170e+04
6.240000000000000213e+00,1.228347612511516127e+04
6.740000000000000213e+00,1.066166723379853283e+04
7.240000000000000213e+00,9.125256487024358648e+03
7.740000000000000213e+00,7.694636835332472401e+03
8.240000000000000213e+00,6.385133039498762628e+03
8.740000000000000213e+00,5.207469977094148817e+03
9.240000000000000213e+00,4.168036263169432459e+03
9.740000000000000213e+00,3.268961743502075933e+03
1.024000000000000021e+01,2.508146396265849035e+03
1.074000000000000021e+01,1.879427448932766993e+03
1.124000000000000021e+01,1.373009894142522171e+03
1.174000000000000021e+01,9.761870480761054978e+02
1.224000000000000021e+01,6.742872134863180236e+02
1.274000000000000021e+01,4.517303473391833109e+02
1.324000000000000021e+01,2.930667429578729184e+02
1.399000000000000021e+01,2.953584531894244378e+02
1.499000000000000021e+01,1.021936339611213072e+02
1.748999999999999844e+01,4.208816071828415062e+01
