Te_MeV,EventRate_per_bin
3.740000000000000213e+00,1.866717778328785789e+04
4.240000000000000213e+00,1.743989333152698237e+04
4.740000000000000213e+00,1.597361491628568911e+04
5.240000000000000213e+00,1.437974805615092191e+04
5.740000000000000213e+00,1.275507399480156164e+04
6.240000000000000213e+00,1.116284671677248662e+04
6.740000000000000213e+00,9.642390846955748202e+03
7.240000000000000213e+00,8.219236591863498688e+03
7.740000000000000213e+00,6.909509629446254621e+03
8.240000000000000213e+00,5.722367492500194203e+03
8.740000000000000213e+00,4.662274693108905012e+03
9.240000000000000213e+00,3.730650159021724903e+03
9.740000000000000213e+00,2.926524845725198247e+03
1.024000000000000021e+01,2.246486796783664431e+03
1.074000000000000021e+01,1.684418788948168412e+03
1.124000000000000021e+01,1.231440502984401064e+03
1.174000000000000021e+01,8.762469739159096207e+02
1.224000000000000021e+01,6.058088490599769784e+02
1.274000000000000021e+01,4.062717879246170014e+02
1.324000000000000021e+01,2.638786624948111239e+02
1.399000000000000021e+01,2.664228588733750485e+02
1.499000000000000021e+01,9.245323174870794958e+01
1.748999999999999844e+01,3.823862421114736065e+01
