Te_MeV,EventRate_per_day_per_21.5kt_per_0.5MeV
3.724288961727067804e+00,5.781449796786737316e+00
4.199124606291112727e+00,5.347806795621862896e+00
4.735229630163854786e+00,4.847297500743506404e+00
5.240699964382248055e+00,4.371526882435583516e+00
5.730853830235624002e+00,3.913053388661404952e+00
6.236323580145912260e+00,3.449650107837339164e+00
6.726477445999288207e+00,3.015312619784963122e+00
7.231947195909575576e+00,2.588672084664121797e+00
7.737418114436074745e+00,2.188951545805035259e+00
8.242887864346361226e+00,1.820792095293932045e+00
8.733041730199738950e+00,1.497400066474206426e+00
9.238511480110027208e+00,1.201003813355258742e+00
9.728665345963403155e+00,9.507015974999579733e-01
1.023413509587369141e+01,7.307572447263910309e-01
1.073960601440019147e+01,5.482432017646405864e-01
1.122975871163735562e+01,4.046872166657030645e-01
1.173522963016385567e+01,2.878363427032444855e-01
1.222538232740101982e+01,2.010153081884891446e-01
1.273085324592751988e+01,1.345310959964847730e-01
1.323632416445401638e+01,8.706100960579735148e-02
1.398687026298289027e+01,4.273758494755056092e-02
1.499781093141967681e+01,1.439985320451915227e-02
