# E_nu,Te,sigma_e,sigma_x
9.137931034482758008e+00,7.250000000000000000e+00,3.920309795393949791e-45,5.842854999462659665e-46
9.655172413793103203e+00,7.250000000000000000e+00,4.204950278464514820e-45,6.291120320876111521e-46
1.017241379310344840e+01,7.250000000000000000e+00,4.384120227891336484e-45,6.592997246058334391e-46
1.068965517241379359e+01,7.250000000000000000e+00,4.491858321874959839e-45,6.797100753793307574e-46
1.120689655172413879e+01,7.250000000000000000e+00,4.555545023203053334e-45,6.941905597994164302e-46
1.172413793103448398e+01,7.250000000000000000e+00,4.593964175210844005e-45,7.053328780033731926e-46
1.224137931034482918e+01,7.250000000000000000e+00,4.618659153152956402e-45,7.146917950523150506e-46
1.275862068965517260e+01,7.250000000000000000e+00,4.636159334354841385e-45,7.231164215422067192e-46
1.327586206896551779e+01,7.250000000000000000e+00,4.649925139016338210e-45,7.310326863642179680e-46
1.379310344827586299e+01,7.250000000000000000e+00,4.661698787249571986e-45,7.386366756572137848e-46
1.431034482758620818e+01,7.250000000000000000e+00,4.672326359717937519e-45,7.460094112554802810e-46
1.482758620689655160e+01,7.250000000000000000e+00,4.682211406220813687e-45,7.531795629842318410e-46
1.534482758620689680e+01,7.250000000000000000e+00,4.691542864071279665e-45,7.601534729655455482e-46
1.586206896551724199e+01,7.250000000000000000e+00,4.700410558353680607e-45,7.669297362278638082e-46
1.637931034482758719e+01,7.250000000000000000e+00,4.708868742156258756e-45,7.735069557467297541e-46
1.689655172413793238e+01,7.250000000000000000e+00,4.716951200983111773e-45,7.798843341365138788e-46
1.741379310344827758e+01,7.250000000000000000e+00,4.724679325020511494e-45,7.860625467842178018e-46
1.793103448275861922e+01,7.250000000000000000e+00,4.732084109212506287e-45,7.920447322523645265e-46
1.844827586206896797e+01,7.250000000000000000e+00,4.739171980009553836e-45,7.978326895942791506e-46
1.896551724137930961e+01,7.250000000000000000e+00,4.745968325227568236e-45,8.034324996248113257e-46
1.948275862068965836e+01,7.250000000000000000e+00,4.752486738166711890e-45,8.088488551592234020e-46
2.000000000000000000e+01,7.250000000000000000e+00,4.758742912439893583e-45,8.140873865434648229e-46
5.000000000000000000e+00,7.750000000000000000e+00,6.345634100580458001e-48,9.703761439582197215e-49
5.517241379310345195e+00,7.750000000000000000e+00,4.028141970474978916e-47,6.102395204570884570e-48
6.034482758620689502e+00,7.750000000000000000e+00,1.581137519629094795e-46,2.377343460172801282e-47
6.551724137931034697e+00,7.750000000000000000e+00,4.338232427160188783e-46,6.483878890298424937e-47
7.068965517241379004e+00,7.750000000000000000e+00,9.081975529493955808e-46,1.351160495291953254e-46
7.586206896551724199e+00,7.750000000000000000e+00,1.547989377752813228e-45,2.295492889889795069e-46
8.103448275862069394e+00,7.750000000000000000e+00,2.257566519997410196e-45,3.341238411217670128e-46
8.620689655172414589e+00,7.750000000000000000e+00,2.928873506147743082e-45,4.332322428827759691e-46
9.137931034482758008e+00,7.750000000000000000e+00,3.486436862667056102e-45,5.161395608462662036e-46
9.655172413793103203e+00,7.750000000000000000e+00,3.902602122115482133e-45,5.790538060050217283e-46
1.017241379310344840e+01,7.750000000000000000e+00,4.187412218899934113e-45,6.235583951796994044e-46
1.068965517241379359e+01,7.750000000000000000e+00,4.369547671318487774e-45,6.538249833810900256e-46
1.120689655172413879e+01,7.750000000000000000e+00,4.480640593667805812e-45,6.743672965240492359e-46
1.172413793103448398e+01,7.750000000000000000e+00,4.546937338292790114e-45,6.888750883569487674e-46
1.224137931034482918e+01,7.750000000000000000e+00,4.586971479144380126e-45,6.999113108719601182e-46
1.275862068965517260e+01,7.750000000000000000e+00,4.612452952881002013e-45,7.090609663375491687e-46
1.327586206896551779e+01,7.750000000000000000e+00,4.630184670657002129e-45,7.172168863796150195e-46
1.379310344827586299e+01,7.750000000000000000e+00,4.643863862203530865e-45,7.248415759784759819e-46
1.431034482758620818e+01,7.750000000000000000e+00,4.655396138836014558e-45,7.321555366789997324e-46
1.482758620689655160e+01,7.750000000000000000e+00,4.665723422278211994e-45,7.392535469220392794e-46
1.534482758620689680e+01,7.750000000000000000e+00,4.675296363515610255e-45,7.461705331263736563e-46
1.586206896551724199e+01,7.750000000000000000e+00,4.684335835583605469e-45,7.529163742815371610e-46
1.637931034482758719e+01,7.750000000000000000e+00,4.692946202834437698e-45,7.594905668818136643e-46
1.689655172413793238e+01,7.750000000000000000e+00,4.701174510249056944e-45,7.658887658606538084e-46
1.741379310344827758e+01,7.750000000000000000e+00,4.709055915909516740e-45,7.721093302206766298e-46
1.793103448275861922e+01,7.750000000000000000e+00,4.716613860426974792e-45,7.781512998512157513e-46
1.844827586206896797e+01,7.750000000000000000e+00,4.723872459294086493e-45,7.840163586650199672e-46
1.896551724137930961e+01,7.750000000000000000e+00,4.730840127604132703e-45,7.897048406397033598e-46
1.948275862068965836e+01,7.750000000000000000e+00,4.737535340411509616e-45,7.952196467955354442e-46
2.000000000000000000e+01,7.750000000000000000e+00,4.743952295701149314e-45,8.005626662330642129e-46
5.000000000000000000e+00,8.250000000000000000e+00,1.180325533834385976e-48,1.804747249617209601e-49
5.517241379310345195e+00,8.250000000000000000e+00,1.063530883898698953e-47,1.610744366975129062e-48
6.034482758620689502e+00,8.250000000000000000e+00,5.541418791992654203e-47,8.327725187523201950e-48
6.551724137931034697e+00,8.250000000000000000e+00,1.915793031315637555e-46,2.860985502807898070e-47
7.068965517241379004e+00,8.250000000000000000e+00,4.846217270370083169e-46,7.200829943632678687e-47
7.586206896551724199e+00,8.250000000000000000e+00,9.639870632678528612e-46,1.426828175924283878e-46
8.103448275862069394e+00,8.250000000000000000e+00,1.592758831531406230e-45,2.351075841128432824e-46
8.620689655172414589e+00,8.250000000000000000e+00,2.281639434815181695e-45,3.362667892591388524e-46
9.137931034482758008e+00,8.250000000000000000e+00,2.932418376594041330e-45,4.320244647006321451e-46
9.655172413793103203e+00,8.250000000000000000e+00,3.476133762394976417e-45,5.125901635223810361e-46
1.017241379310344840e+01,8.250000000000000000e+00,3.886356614081419078e-45,5.743293482776253406e-46
1.068965517241379359e+01,8.250000000000000000e+00,4.170957209394483440e-45,6.184919526818033308e-46
1.120689655172413879e+01,8.250000000000000000e+00,4.355652494236248451e-45,6.488120544408696644e-46
1.172413793103448398e+01,8.250000000000000000e+00,4.469856457407580453e-45,6.694830617620293563e-46
1.224137931034482918e+01,8.250000000000000000e+00,4.538688120288197566e-45,6.840371015986813569e-46
1.275862068965517260e+01,8.250000000000000000e+00,4.580367118031589436e-45,6.949982117884567749e-46
1.327586206896551779e+01,8.250000000000000000e+00,4.606706456413588292e-45,7.039718244697383263e-46
1.379310344827586299e+01,8.250000000000000000e+00,4.624743064282247163e-45,7.118885459103885895e-46
1.431034482758620818e+01,8.250000000000000000e+00,4.638395733860408629e-45,7.192453606815649240e-46
1.482758620689655160e+01,8.250000000000000000e+00,4.649729092388542878e-45,7.262868332232435919e-46
1.534482758620689680e+01,8.250000000000000000e+00,4.659784756230683317e-45,7.331225668134770568e-46
1.586206896551724199e+01,8.250000000000000000e+00,4.669070035663399394e-45,7.397951060461952145e-46
1.637931034482758719e+01,8.250000000000000000e+00,4.677824772614655250e-45,7.463163666909838364e-46
1.689655172413793238e+01,8.250000000000000000e+00,4.686171958488682115e-45,7.526880865788176305e-46
1.741379310344827758e+01,8.250000000000000000e+00,4.694171696844602292e-45,7.589064260058727352e-46
1.793103448275861922e+01,8.250000000000000000e+00,4.701850726244991674e-45,7.649667501529166302e-46
1.844827586206896797e+01,8.250000000000000000e+00,4.709229560636322416e-45,7.708672516621962421e-46
1.896551724137930961e+01,8.250000000000000000e+00,4.716326749084214373e-45,7.766070943189234212e-46
1.948275862068965836e+01,8.250000000000000000e+00,4.723156389260654299e-45,7.821873626298462503e-46
2.000000000000000000e+01,8.250000000000000000e+00,4.729747067520480275e-45,7.876103951503848811e-46
5.000000000000000000e+00,8.750000000000000000e+00,1.763740910847894275e-49,2.696666857093843325e-50
5.517241379310345195e+00,8.750000000000000000e+00,2.313526874353749474e-48,3.503341310856206036e-49
6.034482758620689502e+00,8.750000000000000000e+00,1.635465902773693789e-47,2.457040296459128439e-48
6.551724137931034697e+00,8.750000000000000000e+00,7.265333025121803497e-47,1.084413439107274409e-47
7.068965517241379004e+00,8.750000000000000000e+00,2.261344852007162573e-46,3.357289912877873722e-47
7.586206896551724199e+00,8.750000000000000000e+00,5.340805194342722675e-46,7.895342618997328882e-47
8.103448275862069394e+00,8.750000000000000000e+00,1.016623584910437516e-45,1.497960475617871148e-46
8.620689655172414589e+00,8.750000000000000000e+00,1.634532759793871624e-45,2.402926648832380087e-46
9.137931034482758008e+00,8.750000000000000000e+00,2.304319831081380865e-45,3.383304131807454819e-46
9.655172413793103203e+00,8.750000000000000000e+00,2.936256001851272524e-45,4.310339529571269817e-46
1.017241379310344840e+01,8.750000000000000000e+00,3.467032719139322487e-45,5.094308858504082778e-46
1.068965517241379359e+01,8.750000000000000000e+00,3.871416691775066795e-45,5.700437557175929215e-46
1.120689655172413879e+01,8.750000000000000000e+00,4.155493937139582390e-45,6.138494524853620219e-46
1.172413793103448398e+01,8.750000000000000000e+00,4.342385515548987388e-45,6.441997840737090642e-46
1.224137931034482918e+01,8.750000000000000000e+00,4.459465047382403574e-45,6.649937661525597880e-46
1.275862068965517260e+01,8.750000000000000000e+00,4.530744891103163858e-45,6.796082156093356397e-46
1.327586206896551779e+01,8.750000000000000000e+00,4.574082387710386513e-45,6.905204791957561998e-46
1.379310344827586299e+01,8.750000000000000000e+00,4.601338671964596309e-45,6.993479140919756836e-46
1.431034482758620818e+01,8.750000000000000000e+00,4.619747270326500143e-45,7.070532090356324556e-46
1.482758620689655160e+01,8.750000000000000000e+00,4.633429610222549930e-45,7.141650689078929368e-46
1.534482758620689680e+01,8.750000000000000000e+00,4.644606501437036786e-45,7.209519470990173760e-46
1.586206896551724199e+01,8.750000000000000000e+00,4.654419685245686773e-45,7.275384226416416049e-46
1.637931034482758719e+01,8.750000000000000000e+00,4.663434144170051093e-45,7.339753879288978126e-46
1.689655172413793238e+01,8.750000000000000000e+00,4.671923822553932989e-45,7.402792998946136471e-46
1.741379310344827758e+01,8.750000000000000000e+00,4.680016846793729994e-45,7.464511894333657028e-46
1.793103448275861922e+01,8.750000000000000000e+00,4.687781678220347201e-45,7.524890570533325750e-46
1.844827586206896797e+01,8.750000000000000000e+00,4.695255248394238994e-45,7.583881123772646544e-46
1.896551724137930961e+01,8.750000000000000000e+00,4.702454528759286756e-45,7.641445511761130426e-46
1.948275862068965836e+01,8.750000000000000000e+00,4.709391108400107988e-45,7.697561809502245406e-46
2.000000000000000000e+01,8.750000000000000000e+00,4.716079994610441958e-45,7.752224661709494444e-46
5.000000000000000000e+00,9.250000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.517241379310345195e+00,9.250000000000000000e+00,4.133411619311174574e-49,6.258627935602819758e-50
6.034482758620689502e+00,9.250000000000000000e+00,4.049058412699555333e-48,6.081939174082855116e-49
6.551724137931034697e+00,9.250000000000000000e+00,2.354866584322675580e-47,3.513656779544547449e-48
7.068965517241379004e+00,9.250000000000000000e+00,9.173420021686377658e-47,1.361188660545156046e-47
7.586206896551724199e+00,9.250000000000000000e+00,2.613900234243246676e-46,3.860964079262420547e-47
8.103448275862069394e+00,9.250000000000000000e+00,5.821077850344528400e-46,8.566813945452888830e-47
8.620689655172414589e+00,9.250000000000000000e+00,1.066391822992380027e-45,1.565009846932746879e-46
9.137931034482758008e+00,9.250000000000000000e+00,1.673671768902623471e-45,2.451509826287944720e-46
9.655172413793103203e+00,9.250000000000000000e+00,2.325771774604178969e-45,3.403213806658434069e-46
1.017241379310344840e+01,9.250000000000000000e+00,2.940329631259539847e-45,4.302263039232532297e-46
1.068965517241379359e+01,9.250000000000000000e+00,3.458982007757877999e-45,5.066073305374822857e-46
1.120689655172413879e+01,9.250000000000000000e+00,3.857648092194473963e-45,5.661407155389383109e-46
1.172413793103448398e+01,9.250000000000000000e+00,4.140942202995459878e-45,6.095787004546014528e-46
1.224137931034482918e+01,9.250000000000000000e+00,4.329704765864251061e-45,6.399380731166572201e-46
1.275862068965517260e+01,9.250000000000000000e+00,4.449434742000517146e-45,6.608476270234736355e-46
1.327586206896551779e+01,9.250000000000000000e+00,4.523068085139158825e-45,6.755327242402134383e-46
1.379310344827586299e+01,9.250000000000000000e+00,4.568063913976932311e-45,6.864181780543201776e-46
1.431034482758620818e+01,9.250000000000000000e+00,4.596284296598566350e-45,6.951259597523977478e-46
1.482758620689655160e+01,9.250000000000000000e+00,4.615125031977518790e-45,7.026456058757120451e-46
1.534482758620689680e+01,9.250000000000000000e+00,4.628891423161396094e-45,7.095346918002147410e-46
1.586206896551724199e+01,9.250000000000000000e+00,4.639952368739054794e-45,7.160845136743959461e-46
1.637931034482758719e+01,9.250000000000000000e+00,4.649552097228693915e-45,7.224352340941277756e-46
1.689655172413793238e+01,9.250000000000000000e+00,4.658316914400399384e-45,7.286466248297503496e-46
1.741379310344827758e+01,9.250000000000000000e+00,4.666550684583615940e-45,7.347393785269038013e-46
1.793103448275861922e+01,9.250000000000000000e+00,4.674402507194941491e-45,7.407172885671779050e-46
1.844827586206896797e+01,9.250000000000000000e+00,4.681943150762813263e-45,7.465771124717628117e-46
1.896551724137930961e+01,9.250000000000000000e+00,4.689208298962559536e-45,7.523146875792641398e-46
1.948275862068965836e+01,9.250000000000000000e+00,4.696222564962266227e-45,7.579254729384740504e-46
2.000000000000000000e+01,9.250000000000000000e+00,4.702997520242871527e-45,7.634068740838640530e-46
5.000000000000000000e+00,9.750000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.517241379310345195e+00,9.750000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
6.034482758620689502e+00,9.750000000000000000e+00,8.384326085809857652e-49,1.259234071350475054e-49
6.551724137931034697e+00,9.750000000000000000e+00,6.499812387941234360e-48,9.696165116109675823e-49
7.068965517241379004e+00,9.750000000000000000e+00,3.220732148175151467e-47,4.777344379391064865e-48
7.586206896551724199e+00,9.750000000000000000e+00,1.123937765804755288e-46,1.659240486709875171e-47
8.103448275862069394e+00,9.750000000000000000e+00,2.970356753290492907e-46,4.367864260322250817e-47
8.620689655172414589e+00,9.750000000000000000e+00,6.286646179670589574e-46,9.215262591205759861e-47
9.137931034482758008e+00,9.750000000000000000e+00,1.113547410127834430e-45,1.628372930811037733e-46
9.655172413793103203e+00,9.750000000000000000e+00,1.710477598154356681e-45,2.497210653429574118e-46
1.017241379310344840e+01,9.750000000000000000e+00,2.346132279219618784e-45,3.422455449319889784e-46
1.068965517241379359e+01,9.750000000000000000e+00,2.944594015606174661e-45,4.295737823346711385e-46
1.120689655172413879e+01,9.750000000000000000e+00,3.451854505799452745e-45,5.040747943202849643e-46
1.172413793103448398e+01,9.750000000000000000e+00,3.844934859886188780e-45,5.625733789452611376e-46
1.224137931034482918e+01,9.750000000000000000e+00,4.127230966006906185e-45,6.056361680460129625e-46
1.275862068965517260e+01,9.750000000000000000e+00,4.317573639152516333e-45,6.359854148817626021e-46
1.327586206896551779e+01,9.750000000000000000e+00,4.439740428399067390e-45,6.570020344042608354e-46
1.379310344827586299e+01,9.750000000000000000e+00,4.515627629052396967e-45,6.717648384938985173e-46
1.431034482758620818e+01,9.750000000000000000e+00,4.562270343693899966e-45,6.826418364240480031e-46
1.482758620689655160e+01,9.750000000000000000e+00,4.591491028008207685e-45,6.912533237228193418e-46
