Te_MeV,EventRate_per_year_per_kt_per_0.5MeV
3.740000000000000213e+00,1.230343055068660760e+02
4.240000000000000213e+00,1.133699968572579166e+02
4.740000000000000213e+00,1.033691628865475707e+02
5.240000000000000213e+00,9.319697798498967245e+01
5.740000000000000213e+00,8.302703750425533258e+01
6.240000000000000213e+00,7.303173247683304226e+01
6.740000000000000213e+00,6.337428097157960849e+01
7.240000000000000213e+00,5.420234699007005474e+01
7.740000000000000213e+00,4.564291525020227880e+01
8.240000000000000213e+00,3.779832843024287570e+01
8.740000000000000213e+00,3.074351252281073599e+01
9.240000000000000213e+00,2.452434439565506707e+01
9.740000000000000213e+00,1.915718525520013671e+01
1.024000000000000021e+01,1.462967519141844441e+01
1.074000000000000021e+01,1.090292778232067938e+01
1.124000000000000021e+01,7.915210571649152094e+00
1.174000000000000021e+01,5.587019622374914896e+00
1.224000000000000021e+01,3.827215309675833677e+00
1.274000000000000021e+01,2.539666511376139191e+00
1.324000000000000021e+01,1.629710502231796143e+00
1.399000000000000021e+01,1.612915566649913535e+00
1.499000000000000021e+01,5.392606486250096642e-01
1.748999999999999844e+01,2.027825862103801446e-01
