energy,lambda
1.8784E-02,1.4753E-06
3.7567E-02,5.8897E-06
5.6351E-02,1.3226E-05
7.5135E-02,2.3467E-05
9.3919E-02,3.6595E-05
1.1270E-01,5.2594E-05
1.3149E-01,7.1446E-05
1.5027E-01,9.3135E-05
1.6905E-01,1.1764E-04
1.8784E-01,1.4495E-04
2.0662E-01,1.7505E-04
2.2540E-01,2.0791E-04
2.4419E-01,2.4353E-04
2.6297E-01,2.8188E-04
2.8176E-01,3.2294E-04
3.0054E-01,3.6671E-04
3.1932E-01,4.1316E-04
3.3811E-01,4.6229E-04
3.5689E-01,5.1406E-04
3.7567E-01,5.6846E-04
3.9446E-01,6.2549E-04
4.1324E-01,6.8511E-04
4.3203E-01,7.4732E-04
4.5081E-01,8.1209E-04
4.6959E-01,8.7942E-04
4.8838E-01,9.4929E-04
5.0716E-01,1.0217E-03
5.2594E-01,1.0966E-03
5.4473E-01,1.1739E-03
5.6351E-01,1.2538E-03
5.8230E-01,1.3361E-03
6.0108E-01,1.4208E-03
6.1986E-01,1.5079E-03
6.3865E-01,1.5975E-03
6.5743E-01,1.6894E-03
6.7621E-01,1.7837E-03
6.9500E-01,1.8804E-03
7.1378E-01,1.9794E-03
7.3257E-01,2.0808E-03
7.5135E-01,2.1844E-03
7.7013E-01,2.2904E-03
7.8892E-01,2.3986E-03
8.0770E-01,2.5090E-03
8.2648E-01,2.6218E-03
8.4527E-01,2.7367E-03
8.6405E-01,2.8539E-03
8.8284E-01,2.9732E-03
9.0162E-01,3.0948E-03
9.2040E-01,3.2185E-03
9.3919E-01,3.3443E-03
9.5797E-01,3.4723E-03
9.7675E-01,3.6024E-03
9.9554E-01,3.7346E-03
1.0143E+00,3.8690E-03
1.0331E+00,4.0053E-03
1.0519E+00,4.1438E-03
1.0707E+00,4.2842E-03
1.0895E+00,4.4267E-03
1.1082E+00,4.5712E-03
1.1270E+00,4.7177E-03
1.1458E+00,4.8662E-03
1.1646E+00,5.0167E-03
1.1834E+00,5.1691E-03
1.2022E+00,5.3234E-03
1.2209E+00,5.4797E-03
1.2397E+00,5.6378E-03
1.2585E+00,5.7979E-03
1.2773E+00,5.9598E-03
1.2961E+00,6.1236E-03
1.3149E+00,6.2892E-03
1.3336E+00,6.4567E-03
1.3524E+00,6.6260E-03
1.3712E+00,6.7971E-03
1.3900E+00,6.9699E-03
1.4088E+00,7.1445E-03
1.4276E+00,7.3209E-03
1.4463E+00,7.4991E-03
1.4651E+00,7.6789E-03
1.4839E+00,7.8605E-03
1.5027E+00,8.0437E-03
1.5215E+00,8.2287E-03
1.5403E+00,8.4153E-03
1.5590E+00,8.6035E-03
1.5778E+00,8.7934E-03
1.5966E+00,8.9850E-03
1.6154E+00,9.1781E-03
1.6342E+00,9.3728E-03
1.6530E+00,9.5691E-03
1.6718E+00,9.7670E-03
1.6905E+00,9.9665E-03
1.7093E+00,1.0167E-02
1.7281E+00,1.0370E-02
1.7469E+00,1.0574E-02
1.7657E+00,1.0779E-02
1.7845E+00,1.0986E-02
1.8032E+00,1.1195E-02
1.8220E+00,1.1405E-02
1.8408E+00,1.1616E-02
1.8596E+00,1.1829E-02
1.8784E+00,1.2043E-02
1.8972E+00,1.2259E-02
1.9159E+00,1.2476E-02
1.9347E+00,1.2694E-02
1.9535E+00,1.2914E-02
1.9723E+00,1.3135E-02
1.9911E+00,1.3357E-02
2.0099E+00,1.3581E-02
2.0286E+00,1.3806E-02
2.0474E+00,1.4032E-02
2.0662E+00,1.4259E-02
2.0850E+00,1.4488E-02
2.1038E+00,1.4718E-02
2.1226E+00,1.4949E-02
2.1413E+00,1.5182E-02
2.1601E+00,1.5416E-02
2.1789E+00,1.5650E-02
2.1977E+00,1.5886E-02
2.2165E+00,1.6124E-02
2.2353E+00,1.6362E-02
2.2540E+00,1.6602E-02
2.2728E+00,1.6842E-02
2.2916E+00,1.7084E-02
2.3104E+00,1.7327E-02
2.3292E+00,1.7571E-02
2.3480E+00,1.7816E-02
2.3668E+00,1.8062E-02
2.3855E+00,1.8309E-02
2.4043E+00,1.8557E-02
2.4231E+00,1.8806E-02
2.4419E+00,1.9056E-02
2.4607E+00,1.9308E-02
2.4795E+00,1.9560E-02
2.4982E+00,1.9813E-02
2.5170E+00,2.0067E-02
2.5358E+00,2.0322E-02
2.5546E+00,2.0578E-02
2.5734E+00,2.0835E-02
2.5922E+00,2.1093E-02
2.6109E+00,2.1351E-02
2.6297E+00,2.1611E-02
2.6485E+00,2.1871E-02
2.6673E+00,2.2133E-02
2.6861E+00,2.2395E-02
2.7049E+00,2.2658E-02
2.7236E+00,2.2921E-02
2.7424E+00,2.3186E-02
2.7612E+00,2.3451E-02
2.7800E+00,2.3718E-02
2.7988E+00,2.3984E-02
2.8176E+00,2.4252E-02
2.8363E+00,2.4521E-02
2.8551E+00,2.4790E-02
2.8739E+00,2.5060E-02
2.8927E+00,2.5330E-02
2.9115E+00,2.5601E-02
2.9303E+00,2.5873E-02
2.9490E+00,2.6146E-02
2.9678E+00,2.6419E-02
2.9866E+00,2.6693E-02
3.0054E+00,2.6968E-02
3.0242E+00,2.7243E-02
3.0430E+00,2.7519E-02
3.0617E+00,2.7795E-02
3.0805E+00,2.8072E-02
3.0993E+00,2.8350E-02
3.1181E+00,2.8628E-02
3.1369E+00,2.8906E-02
3.1557E+00,2.9186E-02
3.1745E+00,2.9465E-02
3.1932E+00,2.9746E-02
3.2120E+00,3.0026E-02
3.2308E+00,3.0308E-02
3.2496E+00,3.0589E-02
3.2684E+00,3.0872E-02
3.2872E+00,3.1154E-02
3.3059E+00,3.1438E-02
3.3247E+00,3.1721E-02
3.3435E+00,3.2005E-02
3.3623E+00,3.2289E-02
3.3811E+00,3.2574E-02
3.3999E+00,3.2859E-02
3.4186E+00,3.3145E-02
3.4374E+00,3.3431E-02
3.4562E+00,3.3717E-02
3.4750E+00,3.4004E-02
3.4938E+00,3.4291E-02
3.5126E+00,3.4578E-02
3.5313E+00,3.4866E-02
3.5501E+00,3.5154E-02
3.5689E+00,3.5442E-02
3.5877E+00,3.5731E-02
3.6065E+00,3.6019E-02
3.6253E+00,3.6308E-02
3.6440E+00,3.6598E-02
3.6628E+00,3.6887E-02
3.6816E+00,3.7177E-02
3.7004E+00,3.7467E-02
3.7192E+00,3.7757E-02
3.7380E+00,3.8047E-02
3.7567E+00,3.8338E-02
3.7755E+00,3.8629E-02
3.7943E+00,3.8920E-02
3.8131E+00,3.9211E-02
3.8319E+00,3.9502E-02
3.8507E+00,3.9793E-02
3.8694E+00,4.0085E-02
3.8882E+00,4.0376E-02
3.9070E+00,4.0668E-02
3.9258E+00,4.0960E-02
3.9446E+00,4.1251E-02
3.9634E+00,4.1543E-02
3.9822E+00,4.1835E-02
4.0009E+00,4.2127E-02
4.0197E+00,4.2419E-02
4.0385E+00,4.2711E-02
4.0573E+00,4.3004E-02
4.0761E+00,4.3296E-02
4.0949E+00,4.3588E-02
4.1136E+00,4.3880E-02
4.1324E+00,4.4172E-02
4.1512E+00,4.4464E-02
4.1700E+00,4.4756E-02
4.1888E+00,4.5048E-02
4.2076E+00,4.5340E-02
4.2263E+00,4.5632E-02
4.2451E+00,4.5923E-02
4.2639E+00,4.6215E-02
4.2827E+00,4.6507E-02
4.3015E+00,4.6798E-02
4.3203E+00,4.7089E-02
4.3390E+00,4.7381E-02
4.3578E+00,4.7672E-02
4.3766E+00,4.7963E-02
