E,lambda_eff,lambda_B,lambda_hep
2.98,0.07152643708439625,0.0715891,0.0265968085106383
3.0,0.07214298472286966,0.0722061,0.026889010638297874
3.02,0.07275783521795773,0.0728214,0.027181563829787234
3.04,0.07337078952976747,0.0734348,0.027474957446808508
3.06,0.07398164893628645,0.0740461,0.02776990909090909
3.08,0.07459031108964354,0.0746552,0.028064632978723407
3.1,0.07519927420984238,0.0752646,0.02836035106382979
3.12,0.075806240152578,0.075872,0.02865609574468085
3.14,0.07641120934011973,0.0764774,0.028952170212765964
3.16,0.07701378405568494,0.0770804,0.02924981382978724
3.18,0.07761406223865186,0.0776811,0.029547647058823533
3.2,0.07821444278414785,0.0782819,0.02984727659574468
3.22,0.07881272499239997,0.0788806,0.030146000000000003
3.24,0.07940871150039058,0.079477,0.03044551063829788
3.26,0.08000200250962355,0.0800707,0.030745553191489357
3.28,0.08059329686737789,0.0806624,0.031045999999999997
3.3,0.08118389491440059,0.0812534,0.03134839572192513
3.32,0.08177209554992329,0.081842,0.03165025
3.34,0.08235779969988008,0.0824281,0.03195212765957446
3.36,0.08294050837626724,0.0830112,0.03225425531914893
3.38,0.08352142087085773,0.0835925,0.032557324468085104
3.4,0.08410153466877429,0.084173,0.032860529411764705
3.42,0.08467905565816773,0.0847509,0.033166297872340426
3.44,0.08525397816128108,0.0853262,0.033470553191489366
3.46,0.08582570540270026,0.0858983,0.03377501063829787
3.48,0.08639573621192449,0.0864687,0.03408032978723404
3.5,0.08696416924954524,0.0870375,0.034385648936170216
3.52,0.0875299074400952,0.0876036,0.0346919679144385
3.54,0.08809275104802054,0.0881668,0.03499927659574468
3.56,0.08865209824129298,0.0887265,0.03530565957446808
3.58,0.08921014806745148,0.0892849,0.035612632978723406
3.6,0.08976620042722565,0.0898413,0.0359194255319149
3.62,0.09031925739492079,0.0903947,0.03622652659574468
3.64,0.090869221939519,0.090945,0.0365359679144385
3.66,0.09141528989386144,0.0914914,0.03684395744680852
3.68,0.091960659341466,0.0920371,0.03715231914893617
3.7,0.09250363233909581,0.0925804,0.03746082978723404
3.72,0.09304330993279342,0.0931204,0.03776934042553192
3.74,0.09357979236201505,0.0936572,0.03807812299465241
3.76,0.0941118839474721,0.0941896,0.038389079787234034
3.78,0.0946440734684249,0.0947221,0.03869865425531915
3.8,0.09517306744617073,0.0952514,0.03900822872340426
3.82,0.09569876601998431,0.0957774,0.039317803191489364
3.84,0.09622096946841527,0.0962999,0.03962737765957447
3.86,0.096739080391896,0.0968183,0.0399382192513369
3.88,0.09725659217000157,0.0973361,0.04024907446808511
3.9,0.09777080763458655,0.0978506,0.04055927659574468
3.92,0.09828162844198916,0.0983617,0.04086991489361702
3.94,0.0987886534898644,0.098869,0.041179797872340426
3.96,0.09929168481992127,0.0993723,0.0414901914893617
3.98,0.09979391760495511,0.0998748,0.04180082978723404
4.0,0.10029265732369892,0.1003738,0.04211294652406417
4.02,0.10078770024062844,0.1008691,0.04242365957446807
4.04,0.10127894845701171,0.1013606,0.04273437765957447
4.06,0.10176630327561229,0.1018482,0.04304593617021277
4.08,0.10225265820533637,0.1023348,0.04335657446808511
4.1,0.1027353188781921,0.1028177,0.04366763636363636
4.12,0.10321418582676406,0.1032968,0.043979404255319154
4.14,0.10368915663381321,0.103772,0.04429004255319149
4.16,0.10416043259402928,0.1042435,0.04460068085106383
4.18,0.10463021064336707,0.1047135,0.04491131914893617
4.2,0.10509619398514655,0.1051797,0.045221957446808514
4.22,0.10555828419306655,0.105642,0.04553362566844919
4.24,0.10601607866923014,0.1061,0.0458440585106383
4.26,0.10647077737124001,0.1065549,0.04615442553191489
4.28,0.1069233793758402,0.1070077,0.04646506382978723
4.3,0.10737208553053254,0.1074566,0.046774781914893614
4.32,0.10781669719546857,0.1079014,0.04708435638297873
4.34,0.10825691853703868,0.1083418,0.047396478723404245
4.36,0.10869424036903379,0.1087793,0.047706053191489364
4.38,0.1091289655702933,0.1092142,0.04801544680851064
4.4,0.10955969545355608,0.1096451,0.048324202127659574
4.42,0.10998613203682485,0.1100717,0.04863346808510638
4.44,0.11040777557887274,0.1104935,0.04894293048128343
4.46,0.11082742279643423,0.1109133,0.049253031914893615
4.48,0.11124387225521204,0.1113299,0.04956154255319149
4.5,0.11165632649230017,0.1117425,0.04986948404255319
4.52,0.11206438705009275,0.1121507,0.050177563829787226
4.54,0.1124672544797623,0.1125537,0.05048537765957447
4.56,0.1128688248460554,0.1129554,0.05079399999999999
4.58,0.11326669923205582,0.1133534,0.0511018085106383
4.6,0.11366027785852877,0.1137471,0.05140836170212765
4.62,0.11404946237602868,0.1141364,0.05171474468085107
4.64,0.11443335427509199,0.1145204,0.052021127659574465
4.66,0.11481624763028905,0.1149034,0.05232755614973262
4.68,0.11519494723423962,0.1152822,0.052634271276595736
4.7,0.11556925102203533,0.1156566,0.05293959042553192
4.72,0.11593896082383463,0.1160264,0.05324462765957447
4.74,0.11630367650036275,0.1163912,0.0535488829787234
4.76,0.11666709398746303,0.1167547,0.05385313829787234
4.78,0.11702621680404615,0.1171139,0.05415692021276596
4.8,0.11738084620603347,0.1174686,0.05446093048128342
4.82,0.11773068212385092,0.1178185,0.054764819148936175
4.84,0.11807592254387742,0.1181638,0.05506734042553192
4.86,0.11841936492264075,0.1185073,0.055369468085106385
4.88,0.11875851329021966,0.1188465,0.05567159574468085
4.9,0.11909306686430478,0.1191811,0.05597286170212767
4.92,0.11942282879284843,0.1195109,0.05627532620320856
4.94,0.11974809379838385,0.1198362,0.05657550000000001
4.96,0.12007136126586924,0.1201595,0.0568754414893617
4.98,0.12039023346128892,0.1204784,0.057174377659574484
5.0,0.12070441220262336,0.1207926,0.05747331382978723
5.02,0.12101369794158459,0.1211019,0.0577723743315508
5.04,0.12131898914968377,0.1214072,0.058071361702127657
5.06,0.12162178175330388,0.12171,0.05836885106382978
5.08,0.12191997919301853,0.1220082,0.05866521276595745
5.1,0.12221358289120848,0.1223018,0.058961468085106376
5.12,0.12250199300196496,0.1225902,0.059257127659574464
5.14,0.12278680897408373,0.122875,0.059553395721925126
5.16,0.12306882688425964,0.123157,0.05984825531914894
5.18,0.12334624947048056,0.1234344,0.06014187234042553
5.2,0.12361887874189098,0.123707,0.06043548936170213
5.22,0.12388621414287344,0.1239743,0.060728207446808506
5.24,0.12415045363171891,0.1242385,0.06102076063829787
5.26,0.12441149813297486,0.1244995,0.061313712765957436
5.28,0.12466774580050959,0.1247557,0.06160413829787235
5.3,0.12491929979171208,0.1250072,0.061894404255319155
5.32,0.1251651604621775,0.125253,0.062183765957446804
5.34,0.12540872393591826,0.1254965,0.06247284042553191
5.36,0.12564839197679112,0.1257361,0.06276129411764707
5.38,0.12588326629845115,0.1259709,0.06304945744680851
5.4,0.1261133460110388,0.1262009,0.0633366914893617
5.42,0.12633753241474252,0.126425,0.06362282978723405
5.44,0.12656011960964553,0.1266475,0.06390793617021277
5.46,0.12677831293263894,0.1268656,0.06419304255319148
5.48,0.1269916124853779,0.1270788,0.06447772192513371
5.5,0.12720001699982655,0.1272871,0.06476106382978723
5.52,0.12740262908639263,0.1274896,0.06504404255319148
5.54,0.12760384181895662,0.1276907,0.06532608510638298
5.56,0.1278001598054395,0.1278869,0.065607
5.58,0.12799178276729167,0.1280784,0.06588678723404255
5.6,0.12817841276419212,0.1282649,0.06616662566844919
5.62,0.12835965014672063,0.128446,0.0664463670212766
5.64,0.1285389872760777,0.1286252,0.06672402659574468
5.66,0.12871363004754505,0.1287997,0.06700103723404256
5.68,0.12888337812478895,0.1289693,0.0672769574468085
5.7,0.12904793312576743,0.1291337,0.06755264893617022
5.72,0.1292075942387521,0.1292932,0.06782782887700535
5.74,0.1293652572507799,0.1294507,0.06810237234042554
5.76,0.1295179247361127,0.1296032,0.06837512765957446
5.78,0.12966579733608966,0.1297509,0.06864675531914893
5.8,0.12980837682868657,0.1298933,0.06891803191489361
5.82,0.1299464614181479,0.1300312,0.06918846808510638
5.84,0.13008214948355215,0.1301667,0.06945899999999999
5.86,0.13021314098341324,0.1302975,0.06972729787234043
5.88,0.1303390378453534,0.1304232,0.06999434574468086
5.9,0.1304596419110594,0.1305436,0.07026126595744682
5.92,0.13057634983793645,0.1306601,0.0705270585106383
5.94,0.13069006079497889,0.1307736,0.07079202673796793
5.96,0.1307991779878758,0.1308825,0.07105687234042554
5.98,0.13090310000076716,0.1309862,0.07131997872340426
6.0,0.1310016275787232,0.1310845,0.07158168085106383
6.02,0.1310968590711896,0.1311795,0.07184289361702127
6.04,0.1311888934499036,0.1312713,0.07210297872340425
6.06,0.13127603419923844,0.1313582,0.07236273796791444
6.08,0.13135827976188058,0.1314402,0.07262105319148937
6.1,0.1314348320537021,0.1315165,0.0728785
6.12,0.13150878569974858,0.1315902,0.07313431914893617
6.14,0.13157884408113768,0.13166,0.07338963829787234
6.16,0.131644107836459,0.131725,0.07364401595744681
6.18,0.13170417761911876,0.1317848,0.07389752127659574
6.2,0.1317584534572682,0.1318388,0.07414957446808511
6.22,0.13181112995326869,0.1318912,0.07440050000000001
6.24,0.1318594112883271,0.1319392,0.07465050000000001
6.26,0.13190269884630118,0.1319822,0.07489996808510638
6.28,0.13194109054695927,0.1320203,0.07514751063829787
6.3,0.13197359012262447,0.1320525,0.07539480748663101
6.32,0.1320048904390021,0.1320835,0.07564143617021277
6.34,0.13203119427286422,0.1321095,0.07588559042553192
6.36,0.1320529037651348,0.1321309,0.07612920744680851
6.38,0.1320693188165434,0.132147,0.0763715159574468
6.4,0.13208044010864756,0.1321578,0.07661300531914894
6.42,0.13209006371699322,0.1321671,0.0768546577540107
6.44,0.13209489028925805,0.1321716,0.07709363829787234
6.46,0.13209482273519785,0.1321712,0.07733193617021276
6.48,0.13208976078176188,0.1321658,0.07756925531914895
6.5,0.13207960290878068,0.1321553,0.07780440425531915
6.52,0.13206764736066937,0.132143,0.07803942245989305
6.54,0.13205089710614862,0.1321259,0.0782734414893617
6.56,0.13202935142119243,0.132104,0.07850594148936169
6.58,0.13200261068197258,0.1320769,0.07873679255319149
6.6,0.131971475048507,0.1320454,0.07896690957446809
6.62,0.13193824039885477,0.1320118,0.07919563297872341
6.64,0.13190021184121833,0.1319734,0.07942393048128342
6.66,0.13185738839184785,0.1319302,0.07965109574468085
6.68,0.1318092697825018,0.1318817,0.07987643617021276
6.7,0.13175745414830214,0.1318295,0.08010021276595745
6.72,0.1317029407039762,0.1317746,0.08032286170212766
6.74,0.13164393195646998,0.1317152,0.0805443829787234
6.76,0.13158002982417516,0.1316509,0.08076575401069518
6.78,0.13151073244568412,0.1315812,0.08098513829787234
6.8,0.1314384374804547,0.1315085,0.08120325531914893
6.82,0.13136304519552397,0.1314327,0.08142019680851065
6.84,0.13128305754666547,0.1313523,0.08163586702127659
6.86,0.13119817446957419,0.131267,0.08184991978609626
6.88,0.13110779915009138,0.1311762,0.0820640425531915
6.9,0.13101532290991183,0.1310833,0.08227540425531915
6.92,0.13091925011307895,0.1309868,0.08248563829787234
6.94,0.13081858215234063,0.1308857,0.08269474468085107
6.96,0.13071311930624643,0.1307798,0.08290272340425532
6.98,0.1306016641068749,0.1306679,0.08311019251336899
7.0,0.13048940723335362,0.1305552,0.08331565957446808
7.02,0.13037295452172223,0.1304383,0.08351991489361701
7.04,0.13025170628762686,0.1303166,0.08372258510638299
7.06,0.13012566279035573,0.1301901,0.08392385638297871
7.08,0.12999402552192696,0.130058,0.084124
7.1,0.12986188737932666,0.1299254,0.0843230159574468
7.12,0.1297251539839221,0.1297882,0.08452084042553192
7.14,0.12958402497567317,0.1296466,0.084717414893617
7.16,0.12943799990267765,0.1295001,0.08491191489361702
7.18,0.1292867805014253,0.1293484,0.08510528723404255
7.2,0.12913476021414833,0.1291959,0.08529722340425532
7.22,0.12897824458668955,0.1290389,0.08548800534759357
7.24,0.1288172343301205,0.1288774,0.08567814361702128
7.26,0.12865132763102455,0.128711,0.08586593617021276
7.28,0.12848102548947363,0.1285402,0.08605260106382978
7.3,0.1283093237272242,0.128368,0.08623813829787234
7.32,0.12813332541276645,0.1281915,0.08642185106382978
7.34,0.12795283225269577,0.1280105,0.08660476470588235
7.36,0.12776744366847279,0.1278246,0.08678606382978724
7.38,0.1275782585080736,0.1276349,0.08696602127659575
7.4,0.12738727295059318,0.1274434,0.08714389361702128
7.42,0.12719199302633313,0.1272476,0.08732151063829788
7.44,0.12699231631155738,0.1270474,0.0874970320855615
7.46,0.12678764577477256,0.1268422,0.08767198936170213
7.48,0.12657997546788066,0.126634,0.08784411170212766
7.5,0.12637000679376337,0.1264235,0.08801510638297873
7.52,0.12615584239864147,0.1262088,0.08818497340425532
7.54,0.12593728256106454,0.1259897,0.08835371276595745
7.56,0.1257136281466549,0.1257655,0.0885212459893048
7.58,0.1254879741730945,0.1255393,0.08868709574468085
7.6,0.12525952107849134,0.1253103,0.08885077659574468
7.62,0.12502697241993807,0.1250772,0.0890135425531915
7.64,0.12479002784480285,0.1248397,0.08917484042553192
7.66,0.12454778862137522,0.1245969,0.08933468085106383
7.68,0.1243045489698547,0.1243531,0.0894932139037433
7.7,0.12405801125167702,0.124106,0.08964983510638298
7.72,0.12380737752663994,0.1238548,0.08980522340425531
7.74,0.1235522483354415,0.1235991,0.0899593670212766
7.76,0.12329172368697155,0.123338,0.09011137234042553
7.78,0.12303159710636312,0.1230773,0.09026239037433155
7.8,0.12276737495602066,0.1228125,0.09041248936170213
7.82,0.12249925469174305,0.1225438,0.09056004255319149
7.84,0.12222673898501041,0.1222707,0.09070646808510638
7.86,0.12194922804917985,0.1219926,0.09085131914893617
7.88,0.12167181454417404,0.1217146,0.0909944255319149
7.9,0.12139040503961414,0.1214326,0.09113640425531915
7.92,0.12110510002374615,0.1211467,0.09127770588235294
7.94,0.1208154981562901,0.1208565,0.09141696808510638
7.96,0.12052149892546775,0.1205619,0.09155372340425531
7.98,0.12022719929756413,0.120267,0.09168989361702128
8.0,0.11992920231884463,0.1199684,0.09182426595744682
8.02,0.1196272077700256,0.1196658,0.09195638297872341
8.04,0.11932081989750615,0.1193588,0.09208889361702127
8.06,0.11901093283989238,0.1190483,0.09221848936170213
8.08,0.11870034406060521,0.1187371,0.09234614893617021
8.1,0.1183860598121934,0.1184222,0.09247336170212765
8.12,0.11806787785440724,0.1181034,0.09259831914893617
8.14,0.11774529967325112,0.1177802,0.09272158823529413
8.16,0.1174200239251331,0.1174543,0.09284390425531916
8.18,0.1170935470523581,0.1171272,0.09296421276595744
8.2,0.11676337295470718,0.1167964,0.09308281382978723
8.22,0.11642950243967781,0.1164619,0.09320028723404256
8.24,0.11609103581989735,0.1161228,0.09331595744680851
8.26,0.11575087004565378,0.115782,0.0934305347593583
8.28,0.11540910453610999,0.1154396,0.09354370212765957
8.3,0.11506374105149375,0.1150936,0.09365472340425532
8.32,0.11471457971822845,0.1147438,0.09376348936170213
8.34,0.11436082443600783,0.1143894,0.093872
8.36,0.114006566755659,0.1140345,0.09397828877005347
8.38,0.1136500099407582,0.1136773,0.09408289893617022
8.4,0.11328995575051116,0.1133166,0.09418589361702127
8.42,0.11292620477988222,0.1129522,0.0942875
8.44,0.11255765780525419,0.112583,0.09438717553191489
8.46,0.11218990760508145,0.1122146,0.09448533510638299
8.48,0.11181916000789247,0.1118432,0.09458236363636363
8.5,0.11144501502931177,0.1114684,0.09467787234042553
8.52,0.11106727161508055,0.11109,0.09477090425531914
8.54,0.11068483317621862,0.1107069,0.0948628085106383
8.56,0.11030369135623913,0.1103251,0.09495358510638299
8.58,0.10991925039857797,0.10994,0.09504168085106383
8.6,0.1095316132108438,0.1095517,0.0951292834224599
8.62,0.10914027822360046,0.1091597,0.09521476595744681
8.64,0.1087451466492073,0.1087639,0.09529889893617022
8.66,0.10835091075433262,0.108369,0.09538082978723404
8.68,0.10795347753086675,0.1079709,0.09546147872340426
8.7,0.10755284585275832,0.1075696,0.09554003723404256
8.72,0.10714851755966567,0.1071646,0.09561732620320856
8.74,0.10674119098785816,0.1067566,0.09569285106382978
8.76,0.10633436174409511,0.1063491,0.0957669574468085
8.78,0.10592463437609667,0.1059387,0.09583951063829786
8.8,0.10551160914463262,0.105525,0.09591029787234043
8.82,0.10509518630750952,0.1051079,0.09597940425531915
8.84,0.10467636482076069,0.1046884,0.09604708021390375
8.86,0.10425764054880943,0.104269,0.09611285638297871
8.88,0.1038359181813683,0.1038466,0.096177
8.9,0.10341119842162519,0.1034212,0.09624001595744681
8.92,0.10298268116141991,0.102992,0.09630102659574469
8.94,0.10255316215287162,0.1025618,0.09635978191489362
8.96,0.10212294414147152,0.1021309,0.09641855319148937
8.98,0.101690024978832,0.1016973,0.09647379787234042
9.0,0.10125400856316531,0.1012606,0.09652791489361702
9.02,0.10081429544860725,0.1008202,0.09658070212765958
9.04,0.10037457956337004,0.1003798,0.0966315
9.06,0.09993386315155402,0.0999384,0.09668091978609626
9.08,0.09949044801217927,0.0994943,0.09672855319148936
9.1,0.09904413511838657,0.0990473,0.09677489893617021
9.12,0.09859362577017422,0.0985961,0.09681959042553191
9.14,0.09814481091319972,0.0981466,0.09686202659574468
9.16,0.09769409647256795,0.0976952,0.09690286170212767
9.18,0.09724078428041812,0.0972412,0.09694271122994652
9.2,0.09678457333120338,0.0967843,0.09698055319148936
9.22,0.09632446459639271,0.0963235,0.09701608510638297
9.24,0.09586675192632861,0.0958651,0.0970511914893617
9.26,0.09540663850951467,0.0954043,0.09708336170212767
9.28,0.09494402671656953,0.094941,0.09711419786096258
9.3,0.09447861724984129,0.0944749,0.09714390425531916
9.32,0.0940100091447304,0.0940056,0.09717138829787235
9.34,0.09354349621093322,0.0935384,0.09719750531914893
9.36,0.09307468376163451,0.0930689,0.09722167021276595
9.38,0.09260357294511033,0.0925971,0.0972447074468085
9.4,0.0921295634546361,0.0921224,0.09726579679144386
9.42,0.09165325454056997,0.0916454,0.09728500000000001
9.44,0.09117874147342461,0.0911702,0.09730302127659575
9.46,0.09070202832923362,0.0906928,0.09731878723404255
9.48,0.09022301621034208,0.0902131,0.09733298936170214
9.5,0.08974130628132422,0.0897307,0.09734606382978724
9.52,0.08925809573001481,0.0892468,0.0973571914893617
9.54,0.08877618027965274,0.0887642,0.09736610160427807
9.56,0.08829236559972316,0.0882797,0.09737366489361703
9.58,0.0878062525014632,0.0877929,0.09738006382978723
9.6,0.08731724023440701,0.0873032,0.09738415957446808
9.62,0.08682802530483186,0.0868133,0.09738614361702128
9.64,0.08633950782978783,0.0863241,0.097387
9.66,0.0858490910377829,0.085833,0.09738644680851063
9.68,0.08535657450358444,0.0853398,0.09738397872340425
9.7,0.08486106001405834,0.0848436,0.09737997872340426
9.72,0.08436654164261811,0.0843484,0.0973741914893617
9.74,0.0838721208205344,0.0838533,0.09736674468085106
9.76,0.08337580029336965,0.0833563,0.09735760962566845
9.78,0.08287748006090996,0.0828573,0.09734668617021276
9.8,0.08237596218582136,0.0823551,0.09733425531914894
9.82,0.08187713787594152,0.0818556,0.09731990425531915
9.84,0.08137751273189461,0.0813553,0.09730415425531914
9.86,0.08087608724262407,0.0808532,0.09728635638297872
9.88,0.08037286235780987,0.0803493,0.09726719251336899
9.9,0.07986624061271577,0.079842,0.0972468829787234
9.92,0.07936361014214932,0.0793387,0.09722430851063829
9.94,0.0788594788714937,0.0788339,0.09719965957446809
9.96,0.07835374791791044,0.0783275,0.09717363829787234
