E,flux_spectrum,lambda_B,lambda_hep
9.3731,487755.5503099999,0.09275987099999998,0.097237
9.3919,485418.3239150001,0.09231465350000001,0.097258
9.4106,483081.8823799999,0.09186958999999999,0.097276
9.4294,480732.47072000004,0.09142205600000002,0.097294
9.4482,478382.7493,0.090974466,0.09731
9.467,476022.66437,0.090524905,0.097324
9.4858,473651.3365600002,0.09007320400000003,0.097337
9.5046,471268.97587,0.089619403,0.097349
9.5234,468882.1684199999,0.08916475799999998,0.097359
9.5421,466512.221335,0.0887133275,0.097367
9.5609,464120.7256200001,0.08825779400000001,0.097374
9.5797,461718.4148999999,0.08780020199999998,0.09738
9.5985,459302.005295,0.0873399275,0.097384
9.6173,456884.4433049999,0.08687943649999998,0.097386
9.6361,454469.7530599999,0.08641949399999999,0.097387
9.6548,452061.0110600001,0.08596068600000002,0.097387
9.6736,449629.9197999999,0.08549762399999998,0.097385
9.6924,447186.18916000007,0.08503215600000001,0.097382
9.7112,444740.34276,0.084566288,0.097377
9.73,442296.74598,0.08410085,0.097371
9.7488,439848.9754400001,0.08363462000000002,0.097363
9.7675,437405.3182699999,0.08316917499999998,0.097354
9.7863,434937.3745899999,0.08269910699999998,0.097343
9.8051,432462.5376550001,0.08222772750000003,0.097331
9.8239,429996.575835,0.0817580415,0.097317
9.8427,427526.2013849999,0.08128751649999998,0.097302
9.8615,425047.49517500005,0.0808154075,0.097285
9.8802,422573.65571,0.080344227,0.097267
9.899,420069.9804900001,0.07986736500000002,0.097248
9.9178,417584.97951000003,0.079394063,0.097227
9.9366,415094.47651999985,0.07891971599999997,0.097204
9.9554,412596.6314000002,0.07844397200000003,0.09718
9.9742,410090.2602700001,0.07796660700000002,0.097154
9.9929,407586.810765,0.0774897985,0.097128
10.012,405037.40011999995,0.07700423999999999,0.097099
10.031,402503.95996999985,0.07652172499999997,0.097069
10.049,400097.74569000007,0.07606344500000001,0.097038
10.068,397550.36940000014,0.07557828000000003,0.097005
10.087,394994.74273000006,0.07509154500000001,0.096971
10.106,392439.25779999996,0.07460483999999999,0.096935
10.124,390027.0033599999,0.07414541999999998,0.096897
10.143,387475.07267,0.073659395,0.096859
10.162,384916.6083399999,0.07317212999999999,0.096818
10.181,382349.1140100001,0.07268314500000002,0.096777
10.2,379779.71392,0.0721938,0.096734
10.218,377358.2693200001,0.07173264000000001,0.096689
10.237,374796.95684000006,0.07124484,0.096643
10.256,372229.95859999995,0.07075595999999999,0.096595
10.275,369653.73872999987,0.07026532499999998,0.096546
10.293,367214.4047300002,0.06980076500000003,0.096496
10.312,364646.9287200002,0.06931180000000003,0.096444
10.331,362080.33733000007,0.068823005,0.096391
10.35,359508.69018,0.06833325,0.096336
10.369,356928.7585200001,0.06784192000000001,0.096279
10.387,354483.46311,0.067376235,0.096222
10.406,351911.82905999996,0.06688648999999999,0.096162
10.425,349343.2400099999,0.06639732499999998,0.096102
10.444,346770.43519999983,0.06590735999999997,0.09604
10.463,344190.84213000024,0.06541610500000004,0.095976
10.481,341737.84493,0.06494896500000001,0.095911
10.5,339170.2586,0.06446,0.095845
10.519,336603.1552599999,0.06397112999999999,0.095777
10.538,334032.2561599999,0.06348153999999998,0.095707
10.556,331591.81956000015,0.06301680000000003,0.095637
10.575,329005.7505700001,0.06252432500000002,0.095564
10.594,326437.74158000003,0.06203529000000001,0.095491
10.613,323875.36058,0.06154733,0.095416
10.632,321310.28632,0.061058860000000006,0.095339
10.65,318876.24418000004,0.06059535,0.095261
10.669,316301.0216599999,0.06010494999999998,0.095182
10.688,313732.97587999987,0.059615919999999975,0.095101
10.707,311179.4909699999,0.05912966499999998,0.095019
10.726,308623.78529999993,0.05864298999999999,0.094935
10.744,306199.5580000001,0.05818136000000001,0.09485
10.763,303636.55743999995,0.057693299999999996,0.094763
10.782,301074.6514999999,0.057205449999999984,0.094675
10.801,298532.7926800001,0.056721420000000015,0.094586
10.819,296124.21559999994,0.056262779999999984,0.094495
10.838,293579.0256400001,0.05577812000000002,0.094403
10.857,291029.19992,0.05529258,0.094309
10.876,288482.62132000015,0.05480766000000003,0.094214
10.895,285952.09984000016,0.05432580000000002,0.094118
10.913,283558.58759999997,0.053870039999999994,0.09402
10.932,281030.5624799999,0.053388659999999984,0.093921
10.951,278498.13784999994,0.05290644499999999,0.09382
10.97,275969.74784,0.052425,0.093718
10.988,273586.6962000001,0.05197124000000002,0.093615
11.007,271079.78130000003,0.05149389000000001,0.09351
11.026,268572.06314,0.051016389999999995,0.093403
11.045,266061.64122999995,0.05053837499999999,0.093296
11.064,263549.41856,0.05006002000000001,0.093187
11.082,261187.6713799999,0.04961032999999998,0.093076
11.101,258704.51794999983,0.04913751499999997,0.092965
11.12,256221.34087999997,0.0486647,0.092851
11.139,253737.16631000018,0.048191695000000034,0.092737
11.158,251242.1084800001,0.04771662000000002,0.092621
11.176,248908.40151999998,0.04727227999999999,0.092504
11.195,246451.48754999987,0.04680447499999998,0.092385
11.214,243995.93069999997,0.04633693,0.092265
11.233,241539.94597,0.045869305,0.092144
11.251,239208.23923000006,0.045425355000000014,0.092021
11.27,236763.36086000002,0.04495985,0.091897
11.289,234337.13048000002,0.04449790000000001,0.091771
11.308,231912.6326000001,0.04403628000000002,0.091645
11.327,229488.32108000005,0.04357470000000001,0.091516
11.345,227190.4295599999,0.04313719999999998,0.091387
11.364,224770.61727999986,0.042676479999999975,0.091256
11.383,222377.9658700002,0.042220935000000036,0.091124
11.402,219987.60870000013,0.041765830000000025,0.09099
11.421,217598.9315300001,0.04131104500000001,0.090856
11.439,215334.10446999993,0.040879854999999986,0.090719
11.458,212948.23866000006,0.040425610000000015,0.090582
11.477,210589.84084,0.0399766,0.090443
11.496,208237.99763999996,0.03952883999999999,0.090303
11.514,206011.56118000002,0.03910497,0.090161
11.533,203660.12222,0.03865729,0.090019
11.552,201316.07000000007,0.03821102000000001,0.089875
11.571,198992.0832700001,0.03776857500000001,0.089729
11.59,196681.05616000004,0.0373286,0.089582
11.608,194494.21779999987,0.03691227999999997,0.089435
11.627,192185.8445499999,0.03647281499999998,0.089285
11.646,189882.19629999995,0.03603424999999999,0.089135
11.665,187599.7422900001,0.03559972500000002,0.088983
11.683,185452.59914999997,0.03519097499999999,0.08883
11.702,183189.75649999993,0.03476018999999999,0.088675
11.721,180928.34972000003,0.03432968000000001,0.088519
11.74,178660.79256,0.033898,0.088362
11.759,176429.63626999993,0.033473254999999986,0.088204
11.777,174327.87672000003,0.033073160000000004,0.088044
11.796,172113.95092000015,0.03265170000000003,0.087884
11.815,169902.2931100001,0.03223067500000002,0.087722
11.834,167684.79204000003,0.03180854,0.087558
11.853,165498.50221999997,0.03139234999999999,0.087394
11.871,163445.28413999997,0.031001509999999993,0.087228
11.89,161282.75318,0.03058985,0.087061
11.909,159123.28558999996,0.030178774999999988,0.086893
11.928,156963.80223999987,0.029767699999999977,0.086723
11.946,154931.17726000003,0.029380790000000004,0.086552
11.965,152818.1931500001,0.02897857500000002,0.08638
11.984,150710.76616000006,0.028577420000000006,0.086207
12.003,148607.82003999996,0.028177119999999996,0.086033
12.022,146506.17065999992,0.027777069999999984,0.085857
12.04,144518.8584,0.0273988,0.08568
12.059,142464.10201000012,0.027007685000000024,0.085502
12.078,140415.48024000006,0.026617740000000015,0.085323
12.097,138371.64646000005,0.026228710000000006,0.085142
12.116,136328.74979999996,0.025839859999999992,0.08496
12.134,134402.92813999997,0.025473309999999996,0.084778
12.153,132399.33034,0.02509195,0.084593
12.172,130411.95503999991,0.024713679999999984,0.084408
12.191,128430.13685999987,0.024336469999999975,0.084222
12.209,126553.53917000003,0.023979305000000006,0.084034
12.228,124582.02148000007,0.023604060000000014,0.083846
12.247,122636.68553000002,0.023233805000000003,0.083656
12.266,120713.69881999996,0.022867809999999992,0.083464
12.285,118796.80210999995,0.02250297499999999,0.083272
12.303,116983.40126999999,0.022157854999999997,0.083079
12.322,115069.2634200001,0.02179355000000002,0.082884
12.341,113191.19307000005,0.02143611500000001,0.082689
12.36,111335.78696,0.021083,0.082492
12.378,109584.55922000007,0.02074973000000001,0.082294
12.397,107739.68985000001,0.020398625000000004,0.082095
12.416,105885.99259999995,0.020045839999999992,0.081895
12.435,104078.59246999992,0.019701874999999983,0.081694
12.454,102292.43908,0.019361959999999998,0.081491
12.472,100607.4794400001,0.019041320000000018,0.081288
12.491,98833.33279000004,0.01870369500000001,0.081083
12.51,97056.71075999999,0.0183656,0.080877
12.529,95307.25747999996,0.018032679999999992,0.080671
12.548,93595.27343999996,0.017706899999999994,0.080463
12.566,91979.88151999995,0.01739951999999999,0.080254
12.585,90280.00921999992,0.017076049999999985,0.080044
12.604,88581.91404000002,0.016752920000000004,0.079833
12.623,86894.36348,0.0164318,0.079621
12.641,85343.32341000004,0.016136685000000008,0.079407
12.66,83714.21583999999,0.0158267,0.079193
12.679,82091.58413999996,0.015517949999999992,0.078978
12.698,80468.9366799999,0.015209199999999982,0.078761
12.717,78857.44546999999,0.014902574999999998,0.078544
12.735,77374.44013000008,0.014620425000000013,0.078326
12.754,75823.98278000002,0.014325430000000005,0.078106
12.773,74279.37917999999,0.014031549999999997,0.077886
12.792,72734.91732000004,0.013737700000000005,0.077664
12.811,71204.55171000004,0.013446535000000008,0.077442
12.829,69786.94033999996,0.013176849999999992,0.077218
12.848,68317.01271999991,0.012897199999999984,0.076994
12.867,66853.23808999994,0.012618724999999987,0.076768
12.886,65390.093460000106,0.01234037000000002,0.076542
12.904,64008.22932000003,0.012077500000000005,0.076314
12.923,62590.58642999999,0.011807814999999998,0.076086
12.942,61203.53527999996,0.011543959999999992,0.075856
