Te_MeV,EventRate_per_day_per_21.5kt_per_0.5MeV
3.724288961727067804e+00,5.468000802749754641e+00
4.199124606291112727e+00,5.071985961356480388e+00
4.735229630163854786e+00,4.611394054395327124e+00
5.240699964382248055e+00,4.170417361540643242e+00
5.730853830235624002e+00,3.742820011610281661e+00
6.236323580145912260e+00,3.308126105880824674e+00
6.726477445999288207e+00,2.898488107692634763e+00
7.231947195909575576e+00,2.494080610328009762e+00
7.737418114436074745e+00,2.113423964896463669e+00
8.242887864346361226e+00,1.761372815932224389e+00
8.733041730199738950e+00,1.451029099779150622e+00
9.238511480110027208e+00,1.165711138587068207e+00
9.728665345963403155e+00,9.241082306422107040e-01
1.023413509587369141e+01,7.112962160865864414e-01
1.073960601440019147e+01,5.343148288587508121e-01
1.122975871163735562e+01,3.948439451143758161e-01
1.173522963016385567e+01,2.811271421605678889e-01
1.222538232740101982e+01,1.965099855204260892e-01
1.273085324592751988e+01,1.316301305096148899e-01
1.323632416445401638e+01,8.525218838168639734e-02
1.398687026298289027e+01,4.189545293350365601e-02
1.499781093141967681e+01,1.413422578524858517e-02
