dm2,tan2theta,chi2
9.999999999999999124e-06,9.999999999999999167e-02,1.223318842201515935e+02
9.999999999999999124e-06,1.220300155651587587e-01,2.347911661334622693e+02
9.999999999999999124e-06,1.489132469883288623e-01,1.153180988294996183e+02
9.999999999999999124e-06,1.817188584784409922e-01,1.597228437238112875e+01
9.999999999999999124e-06,2.217515512860702975e-01,2.734618721873810898e+01
9.999999999999999124e-06,2.706034525503725474e-01,1.479379441432978304e+01
9.999999999999999124e-06,3.302174352670765312e-01,1.377652791215952277e+01
9.999999999999999124e-06,4.029643876552815307e-01,1.593165481010279727e+01
9.999999999999999124e-06,4.917375049777867324e-01,3.874367163968322103e+01
9.999999999999999124e-06,6.000673538641163596e-01,6.472970233770396931e+01
1.178768634793586505e-05,9.999999999999999167e-02,1.904565185000999463e+02
1.178768634793586505e-05,1.220300155651587587e-01,2.260132164188932791e+02
1.178768634793586505e-05,1.489132469883288623e-01,7.673478110543763364e+01
1.178768634793586505e-05,1.817188584784409922e-01,1.495545777220202943e+01
1.178768634793586505e-05,2.217515512860702975e-01,4.690759729958088542e+01
1.178768634793586505e-05,2.706034525503725474e-01,3.019273131160477419e+01
1.178768634793586505e-05,3.302174352670765312e-01,1.635604283639159462e+01
1.178768634793586505e-05,4.029643876552815307e-01,1.999666935440367155e+01
1.178768634793586505e-05,4.917375049777867324e-01,2.545981097674400928e+01
1.178768634793586505e-05,6.000673538641163596e-01,5.179334160812945242e+01
1.389495494373138805e-05,9.999999999999999167e-02,1.680978666389797240e+02
1.389495494373138805e-05,1.220300155651587587e-01,1.625495365018200005e+02
1.389495494373138805e-05,1.489132469883288623e-01,6.928058855119486736e+01
1.389495494373138805e-05,1.817188584784409922e-01,3.683524810649088010e+01
1.389495494373138805e-05,2.217515512860702975e-01,4.105261033872962173e+01
1.389495494373138805e-05,2.706034525503725474e-01,2.398445693427754932e+01
1.389495494373138805e-05,3.302174352670765312e-01,1.380698720129313983e+01
1.389495494373138805e-05,4.029643876552815307e-01,6.283980026439552447e+00
1.389495494373138805e-05,4.917375049777867324e-01,1.522896419679418933e+01
1.389495494373138805e-05,6.000673538641163596e-01,3.785332630920952823e+01
1.637893706954064388e-05,9.999999999999999167e-02,9.883722013426472586e+01
1.637893706954064388e-05,1.220300155651587587e-01,1.277979799124630063e+02
1.637893706954064388e-05,1.489132469883288623e-01,9.589052018261851629e+01
1.637893706954064388e-05,1.817188584784409922e-01,5.263444937325404283e+01
1.637893706954064388e-05,2.217515512860702975e-01,5.283143067207221577e+01
1.637893706954064388e-05,2.706034525503725474e-01,2.855788412106652530e+01
1.637893706954064388e-05,3.302174352670765312e-01,2.462830232141488906e+01
1.637893706954064388e-05,4.029643876552815307e-01,7.720685474489025424e+00
1.637893706954064388e-05,4.917375049777867324e-01,1.020397455079496929e+01
1.637893706954064388e-05,6.000673538641163596e-01,3.434435427581704658e+01
1.930697728883249591e-05,9.999999999999999167e-02,8.185666634417134446e+01
1.930697728883249591e-05,1.220300155651587587e-01,1.226698427101477904e+02
1.930697728883249591e-05,1.489132469883288623e-01,1.336801670314701767e+02
1.930697728883249591e-05,1.817188584784409922e-01,1.140461844182554643e+02
1.930697728883249591e-05,2.217515512860702975e-01,1.018759547645646961e+02
1.930697728883249591e-05,2.706034525503725474e-01,6.246024739866571451e+01
1.930697728883249591e-05,3.302174352670765312e-01,3.168196046206774952e+01
1.930697728883249591e-05,4.029643876552815307e-01,9.483109681745222730e+00
1.930697728883249591e-05,4.917375049777867324e-01,9.274723451795379603e+00
1.930697728883249591e-05,6.000673538641163596e-01,3.407495347727606116e+01
2.275845926074786477e-05,9.999999999999999167e-02,1.545874746112264404e+02
2.275845926074786477e-05,1.220300155651587587e-01,2.064290259770844784e+02
2.275845926074786477e-05,1.489132469883288623e-01,2.203700794090671309e+02
2.275845926074786477e-05,1.817188584784409922e-01,1.532981907701289401e+02
2.275845926074786477e-05,2.217515512860702975e-01,9.775135124436792466e+01
2.275845926074786477e-05,2.706034525503725474e-01,6.494036676370721750e+01
2.275845926074786477e-05,3.302174352670765312e-01,2.901022539252437227e+01
2.275845926074786477e-05,4.029643876552815307e-01,8.840590178341624750e+00
2.275845926074786477e-05,4.917375049777867324e-01,9.383776450175210115e+00
2.275845926074786477e-05,6.000673538641163596e-01,3.456750970628169028e+01
2.682695795279727390e-05,9.999999999999999167e-02,2.211189974032615737e+02
2.682695795279727390e-05,1.220300155651587587e-01,1.850079574086217633e+02
2.682695795279727390e-05,1.489132469883288623e-01,2.169469951082589034e+02
2.682695795279727390e-05,1.817188584784409922e-01,1.243489244205327680e+02
2.682695795279727390e-05,2.217515512860702975e-01,9.012982011950053618e+01
2.682695795279727390e-05,2.706034525503725474e-01,6.119521171432670315e+01
2.682695795279727390e-05,3.302174352670765312e-01,2.629424508014508888e+01
2.682695795279727390e-05,4.029643876552815307e-01,7.399198602783526368e+00
2.682695795279727390e-05,4.917375049777867324e-01,9.219273043695263681e+00
2.682695795279727390e-05,6.000673538641163596e-01,3.333633741788565885e+01
3.162277660168379530e-05,9.999999999999999167e-02,2.292705149062032888e+02
3.162277660168379530e-05,1.220300155651587587e-01,1.461847921807449211e+02
3.162277660168379530e-05,1.489132469883288623e-01,1.787143901136561794e+02
3.162277660168379530e-05,1.817188584784409922e-01,9.264135528730422209e+01
3.162277660168379530e-05,2.217515512860702975e-01,8.746413231832562474e+01
3.162277660168379530e-05,2.706034525503725474e-01,6.279981937679936266e+01
3.162277660168379530e-05,3.302174352670765312e-01,2.319674310994056299e+01
3.162277660168379530e-05,4.029643876552815307e-01,8.907259258845613203e+00
3.162277660168379530e-05,4.917375049777867324e-01,9.922986914697876415e+00
3.162277660168379530e-05,6.000673538641163596e-01,3.167232440898819945e+01
3.727593720314938141e-05,9.999999999999999167e-02,1.865273811983096834e+02
3.727593720314938141e-05,1.220300155651587587e-01,1.713988465566804678e+02
3.727593720314938141e-05,1.489132469883288623e-01,1.845374799490128908e+02
3.727593720314938141e-05,1.817188584784409922e-01,8.527338098039942338e+01
3.727593720314938141e-05,2.217515512860702975e-01,1.072109716413916800e+02
3.727593720314938141e-05,2.706034525503725474e-01,6.404559413733548467e+01
3.727593720314938141e-05,3.302174352670765312e-01,2.239386312596239748e+01
3.727593720314938141e-05,4.029643876552815307e-01,1.077464223706399871e+01
3.727593720314938141e-05,4.917375049777867324e-01,9.690816397541238914e+00
3.727593720314938141e-05,6.000673538641163596e-01,3.255759566325649956e+01
4.393970560760786573e-05,9.999999999999999167e-02,1.596236967446273525e+02
4.393970560760786573e-05,1.220300155651587587e-01,2.298877405322838001e+02
4.393970560760786573e-05,1.489132469883288623e-01,2.229015548037102974e+02
4.393970560760786573e-05,1.817188584784409922e-01,9.808774318494397448e+01
4.393970560760786573e-05,2.217515512860702975e-01,9.488821979361793524e+01
4.393970560760786573e-05,2.706034525503725474e-01,5.627461005947122885e+01
4.393970560760786573e-05,3.302174352670765312e-01,2.176381370369708534e+01
4.393970560760786573e-05,4.029643876552815307e-01,9.209323060816645423e+00
4.393970560760786573e-05,4.917375049777867324e-01,1.007275834179769447e+01
4.393970560760786573e-05,6.000673538641163596e-01,3.296917260154830842e+01
5.179474679231212499e-05,9.999999999999999167e-02,1.770525773109808938e+02
5.179474679231212499e-05,1.220300155651587587e-01,2.408975022544337605e+02
5.179474679231212499e-05,1.489132469883288623e-01,1.982760164123352808e+02
5.179474679231212499e-05,1.817188584784409922e-01,1.148821995388451853e+02
5.179474679231212499e-05,2.217515512860702975e-01,9.354295878380207796e+01
5.179474679231212499e-05,2.706034525503725474e-01,5.527772188949715115e+01
5.179474679231212499e-05,3.302174352670765312e-01,2.392296738898077280e+01
5.179474679231212499e-05,4.029643876552815307e-01,1.130431674068359804e+01
5.179474679231212499e-05,4.917375049777867324e-01,1.039228274076452863e+01
5.179474679231212499e-05,6.000673538641163596e-01,3.210408426551456529e+01
6.105402296585326076e-05,9.999999999999999167e-02,1.603836467657112337e+02
6.105402296585326076e-05,1.220300155651587587e-01,2.181361618891042440e+02
6.105402296585326076e-05,1.489132469883288623e-01,1.841080778603416945e+02
6.105402296585326076e-05,1.817188584784409922e-01,1.253904145558301195e+02
6.105402296585326076e-05,2.217515512860702975e-01,1.051063516669985205e+02
6.105402296585326076e-05,2.706034525503725474e-01,4.212074110214888378e+01
6.105402296585326076e-05,3.302174352670765312e-01,2.822654460849226510e+01
6.105402296585326076e-05,4.029643876552815307e-01,1.057081096765882755e+01
6.105402296585326076e-05,4.917375049777867324e-01,9.266425688347524670e+00
6.105402296585326076e-05,6.000673538641163596e-01,3.153280570600587751e+01
7.196856730011512730e-05,9.999999999999999167e-02,1.837162319103239838e+02
7.196856730011512730e-05,1.220300155651587587e-01,2.057039279257255373e+02
7.196856730011512730e-05,1.489132469883288623e-01,1.612907051921839638e+02
7.196856730011512730e-05,1.817188584784409922e-01,1.177381127049615799e+02
7.196856730011512730e-05,2.217515512860702975e-01,9.777339798802483983e+01
7.196856730011512730e-05,2.706034525503725474e-01,3.651608610339591365e+01
7.196856730011512730e-05,3.302174352670765312e-01,3.104592110540757588e+01
7.196856730011512730e-05,4.029643876552815307e-01,9.456192587034113473e+00
7.196856730011512730e-05,4.917375049777867324e-01,9.461719922520051895e+00
7.196856730011512730e-05,6.000673538641163596e-01,3.217707688771589858e+01
8.483428982440725232e-05,9.999999999999999167e-02,1.971909301244499488e+02
8.483428982440725232e-05,1.220300155651587587e-01,1.933109467552635863e+02
8.483428982440725232e-05,1.489132469883288623e-01,1.595143748416502092e+02
8.483428982440725232e-05,1.817188584784409922e-01,1.127587281175260614e+02
8.483428982440725232e-05,2.217515512860702975e-01,9.607594733902057271e+01
8.483428982440725232e-05,2.706034525503725474e-01,4.557434420015366783e+01
8.483428982440725232e-05,3.302174352670765312e-01,3.001307818308310260e+01
8.483428982440725232e-05,4.029643876552815307e-01,1.036910411646805485e+01
8.483428982440725232e-05,4.917375049777867324e-01,1.059314224434614360e+01
8.483428982440725232e-05,6.000673538641163596e-01,3.162238489336711567e+01
9.999999999999999124e-05,9.999999999999999167e-02,2.265655297073292616e+02
9.999999999999999124e-05,1.220300155651587587e-01,2.090897753909704306e+02
9.999999999999999124e-05,1.489132469883288623e-01,1.925120971383384472e+02
9.999999999999999124e-05,1.817188584784409922e-01,1.120275269380358054e+02
9.999999999999999124e-05,2.217515512860702975e-01,1.020218808742088896e+02
9.999999999999999124e-05,2.706034525503725474e-01,4.851064136385824099e+01
9.999999999999999124e-05,3.302174352670765312e-01,2.828449665502561672e+01
9.999999999999999124e-05,4.029643876552815307e-01,9.906980930932427043e+00
9.999999999999999124e-05,4.917375049777867324e-01,1.013276313954604646e+01
9.999999999999999124e-05,6.000673538641163596e-01,3.311052278868573495e+01
