dm2,tan2theta,chi2
9.999999999999999124e-06,9.999999999999999167e-02,1.216263367204711301e+02
9.999999999999999124e-06,1.220300155651587587e-01,2.335528148058377838e+02
9.999999999999999124e-06,1.489132469883288623e-01,1.145635260627283571e+02
9.999999999999999124e-06,1.817188584784409922e-01,1.582160274668922106e+01
9.999999999999999124e-06,2.217515512860702975e-01,2.697377711203875350e+01
9.999999999999999124e-06,2.706034525503725474e-01,1.453849770720554702e+01
9.999999999999999124e-06,3.302174352670765312e-01,1.356427176929475920e+01
9.999999999999999124e-06,4.029643876552815307e-01,1.607757840909405544e+01
9.999999999999999124e-06,4.917375049777867324e-01,3.888636490853105698e+01
9.999999999999999124e-06,6.000673538641163596e-01,6.525866636521669761e+01
1.178768634793586505e-05,9.999999999999999167e-02,1.892430893458429466e+02
1.178768634793586505e-05,1.220300155651587587e-01,2.244554835101969559e+02
1.178768634793586505e-05,1.489132469883288623e-01,7.586757453625411074e+01
1.178768634793586505e-05,1.817188584784409922e-01,1.463414260553844493e+01
1.178768634793586505e-05,2.217515512860702975e-01,4.628643946842039014e+01
1.178768634793586505e-05,2.706034525503725474e-01,2.977989378824101863e+01
1.178768634793586505e-05,3.302174352670765312e-01,1.612584135217311498e+01
1.178768634793586505e-05,4.029643876552815307e-01,2.027848340287075501e+01
1.178768634793586505e-05,4.917375049777867324e-01,2.570268043805049629e+01
1.178768634793586505e-05,6.000673538641163596e-01,5.244771398738461698e+01
1.389495494373138805e-05,9.999999999999999167e-02,1.667005091698563035e+02
1.389495494373138805e-05,1.220300155651587587e-01,1.607935513037201645e+02
1.389495494373138805e-05,1.489132469883288623e-01,6.807057074353330961e+01
1.389495494373138805e-05,1.817188584784409922e-01,3.606562159963137049e+01
1.389495494373138805e-05,2.217515512860702975e-01,4.022652756159513388e+01
1.389495494373138805e-05,2.706034525503725474e-01,2.348213605017065575e+01
1.389495494373138805e-05,3.302174352670765312e-01,1.336505074970292206e+01
1.389495494373138805e-05,4.029643876552815307e-01,6.335748913821475981e+00
1.389495494373138805e-05,4.917375049777867324e-01,1.552936733715657880e+01
1.389495494373138805e-05,6.000673538641163596e-01,3.848546606370986467e+01
1.637893706954064388e-05,9.999999999999999167e-02,9.735630793132156668e+01
1.637893706954064388e-05,1.220300155651587587e-01,1.257086515286398054e+02
1.637893706954064388e-05,1.489132469883288623e-01,9.381661643671236561e+01
1.637893706954064388e-05,1.817188584784409922e-01,5.113147797774814762e+01
1.637893706954064388e-05,2.217515512860702975e-01,5.111927852616291545e+01
1.637893706954064388e-05,2.706034525503725474e-01,2.735703907083698994e+01
1.637893706954064388e-05,3.302174352670765312e-01,2.344958323623251317e+01
1.637893706954064388e-05,4.029643876552815307e-01,7.427903617254906443e+00
1.637893706954064388e-05,4.917375049777867324e-01,1.054478033499079181e+01
1.637893706954064388e-05,6.000673538641163596e-01,3.511769568486253235e+01
1.930697728883249591e-05,9.999999999999999167e-02,7.977504352886636241e+01
1.930697728883249591e-05,1.220300155651587587e-01,1.196551365740728556e+02
1.930697728883249591e-05,1.489132469883288623e-01,1.299341827135546055e+02
1.930697728883249591e-05,1.817188584784409922e-01,1.103640048592590546e+02
1.930697728883249591e-05,2.217515512860702975e-01,9.852697247806896996e+01
1.930697728883249591e-05,2.706034525503725474e-01,5.988388065482306644e+01
1.930697728883249591e-05,3.302174352670765312e-01,2.995826438822137661e+01
1.930697728883249591e-05,4.029643876552815307e-01,9.208557103436726621e+00
1.930697728883249591e-05,4.917375049777867324e-01,9.727653583587656527e+00
1.930697728883249591e-05,6.000673538641163596e-01,3.505974595829379581e+01
2.275845926074786477e-05,9.999999999999999167e-02,1.501588768016664801e+02
2.275845926074786477e-05,1.220300155651587587e-01,2.011452340544341268e+02
