E,Day,Day+Night,Night
0.1000E+00,0.6061E+00,0.6052E+00,0.6052E+00
0.1500E+00,0.5982E+00,0.5977E+00,0.5981E+00
0.2000E+00,0.5899E+00,0.5893E+00,0.5896E+00
0.2500E+00,0.5812E+00,0.5806E+00,0.5809E+00
0.3000E+00,0.5722E+00,0.5717E+00,0.5720E+00
0.3500E+00,0.5628E+00,0.5622E+00,0.5624E+00
0.4000E+00,0.5532E+00,0.5527E+00,0.5529E+00
0.4500E+00,0.5433E+00,0.5428E+00,0.5430E+00
0.5000E+00,0.5332E+00,0.5327E+00,0.5329E+00
0.5500E+00,0.5229E+00,0.5224E+00,0.5227E+00
0.6000E+00,0.5125E+00,0.5121E+00,0.5124E+00
0.6500E+00,0.5021E+00,0.5017E+00,0.5020E+00
0.7000E+00,0.4916E+00,0.4913E+00,0.4917E+00
0.7500E+00,0.4812E+00,0.4810E+00,0.4815E+00
0.8000E+00,0.4710E+00,0.4708E+00,0.4713E+00
0.8500E+00,0.4609E+00,0.4608E+00,0.4614E+00
0.9000E+00,0.4510E+00,0.4510E+00,0.4517E+00
0.9500E+00,0.4414E+00,0.4415E+00,0.4422E+00
0.1000E+01,0.4320E+00,0.4323E+00,0.4331E+00
0.1050E+01,0.4230E+00,0.4234E+00,0.4243E+00
0.1100E+01,0.4144E+00,0.4149E+00,0.4159E+00
0.1150E+01,0.4061E+00,0.4067E+00,0.4079E+00
0.1200E+01,0.3981E+00,0.3989E+00,0.4003E+00
0.1250E+01,0.3906E+00,0.3915E+00,0.3929E+00
0.1300E+01,0.3834E+00,0.3845E+00,0.3860E+00
0.1350E+01,0.3766E+00,0.3778E+00,0.3795E+00
0.1400E+01,0.3702E+00,0.3715E+00,0.3734E+00
0.1450E+01,0.3641E+00,0.3655E+00,0.3675E+00
0.1500E+01,0.3583E+00,0.3599E+00,0.3620E+00
0.1550E+01,0.3529E+00,0.3547E+00,0.3569E+00
0.1600E+01,0.3478E+00,0.3498E+00,0.3522E+00
0.1650E+01,0.3431E+00,0.3451E+00,0.3477E+00
0.1700E+01,0.3385E+00,0.3408E+00,0.3436E+00
0.1750E+01,0.3343E+00,0.3368E+00,0.3397E+00
0.1800E+01,0.3303E+00,0.3330E+00,0.3361E+00
0.1850E+01,0.3266E+00,0.3294E+00,0.3327E+00
0.1900E+01,0.3231E+00,0.3261E+00,0.3295E+00
0.1950E+01,0.3198E+00,0.3229E+00,0.3264E+00
0.2000E+01,0.3167E+00,0.3199E+00,0.3235E+00
0.2050E+01,0.3138E+00,0.3171E+00,0.3208E+00
0.2100E+01,0.3110E+00,0.3145E+00,0.3184E+00
0.2150E+01,0.3084E+00,0.3121E+00,0.3161E+00
0.2200E+01,0.3060E+00,0.3098E+00,0.3141E+00
0.2250E+01,0.3037E+00,0.3077E+00,0.3122E+00
0.2300E+01,0.3016E+00,0.3058E+00,0.3104E+00
0.2350E+01,0.2995E+00,0.3040E+00,0.3088E+00
0.2400E+01,0.2976E+00,0.3022E+00,0.3072E+00
0.2450E+01,0.2958E+00,0.3006E+00,0.3058E+00
0.2500E+01,0.2941E+00,0.2990E+00,0.3044E+00
0.2550E+01,0.2925E+00,0.2975E+00,0.3030E+00
0.2600E+01,0.2910E+00,0.2961E+00,0.3017E+00
0.2650E+01,0.2895E+00,0.2948E+00,0.3005E+00
0.2700E+01,0.2882E+00,0.2936E+00,0.2994E+00
0.2750E+01,0.2869E+00,0.2924E+00,0.2984E+00
0.2800E+01,0.2857E+00,0.2914E+00,0.2975E+00
0.2850E+01,0.2845E+00,0.2904E+00,0.2967E+00
0.2900E+01,0.2834E+00,0.2895E+00,0.2960E+00
0.2950E+01,0.2823E+00,0.2886E+00,0.2953E+00
0.3000E+01,0.2813E+00,0.2878E+00,0.2947E+00
0.3050E+01,0.2804E+00,0.2870E+00,0.2941E+00
0.3100E+01,0.2795E+00,0.2863E+00,0.2935E+00
0.3150E+01,0.2786E+00,0.2856E+00,0.2930E+00
0.3200E+01,0.2778E+00,0.2850E+00,0.2925E+00
0.3250E+01,0.2771E+00,0.2843E+00,0.2920E+00
0.3300E+01,0.2763E+00,0.2837E+00,0.2915E+00
0.3350E+01,0.2756E+00,0.2831E+00,0.2910E+00
0.3400E+01,0.2749E+00,0.2826E+00,0.2906E+00
0.3450E+01,0.2743E+00,0.2821E+00,0.2903E+00
0.3500E+01,0.2737E+00,0.2817E+00,0.2900E+00
0.3550E+01,0.2731E+00,0.2812E+00,0.2898E+00
0.3600E+01,0.2725E+00,0.2809E+00,0.2896E+00
0.3650E+01,0.2720E+00,0.2805E+00,0.2895E+00
0.3700E+01,0.2715E+00,0.2802E+00,0.2893E+00
0.3750E+01,0.2710E+00,0.2798E+00,0.2891E+00
0.3800E+01,0.2705E+00,0.2795E+00,0.2889E+00
0.3850E+01,0.2700E+00,0.2792E+00,0.2887E+00
0.3900E+01,0.2696E+00,0.2788E+00,0.2885E+00
0.3950E+01,0.2692E+00,0.2785E+00,0.2882E+00
0.4000E+01,0.2688E+00,0.2782E+00,0.2880E+00
0.4050E+01,0.2684E+00,0.2778E+00,0.2877E+00
0.4100E+01,0.2680E+00,0.2775E+00,0.2874E+00
0.4150E+01,0.2676E+00,0.2772E+00,0.2872E+00
0.4200E+01,0.2673E+00,0.2770E+00,0.2871E+00
0.4250E+01,0.2670E+00,0.2768E+00,0.2870E+00
0.4300E+01,0.2667E+00,0.2767E+00,0.2870E+00
0.4350E+01,0.2663E+00,0.2766E+00,0.2872E+00
0.4400E+01,0.2660E+00,0.2766E+00,0.2875E+00
0.4450E+01,0.2658E+00,0.2766E+00,0.2878E+00
0.4500E+01,0.2655E+00,0.2766E+00,0.2882E+00
0.4550E+01,0.2652E+00,0.2767E+00,0.2885E+00
0.4600E+01,0.2650E+00,0.2767E+00,0.2888E+00
0.4650E+01,0.2647E+00,0.2766E+00,0.2889E+00
0.4700E+01,0.2645E+00,0.2765E+00,0.2889E+00
0.4750E+01,0.2642E+00,0.2763E+00,0.2888E+00
0.4800E+01,0.2640E+00,0.2761E+00,0.2886E+00
0.4850E+01,0.2638E+00,0.2759E+00,0.2884E+00
0.4900E+01,0.2636E+00,0.2757E+00,0.2881E+00
0.4950E+01,0.2634E+00,0.2755E+00,0.2879E+00
0.5000E+01,0.2632E+00,0.2753E+00,0.2878E+00
0.5050E+01,0.2630E+00,0.2752E+00,0.2878E+00
0.5100E+01,0.2628E+00,0.2752E+00,0.2879E+00
