Energy(MeV)  Nu+D  Nubar+D  Nue+D  Nuebar+D                            Cross-section (cm^2) 

2.0 0.000  1.0e-60  3.603e-45  1.0e-60
2.2 0.000  1.0e-60  7.833e-45  1.0e-60
32 2.145e-41  1.805e-41  4.802e-41  2.896e-41 
33 2.304e-41  1.928e-41  5.164e-41  3.099e-41 
34 2.469e-41  2.055e-41  5.541e-41  3.309e-41 
35 2.640e-41  2.186e-41  5.934e-41  3.525e-41 
36 2.817e-41  2.320e-41  6.342e-41  3.746e-41 
37 3.001e-41  2.458e-41  6.765e-41  3.973e-41 
38 3.190e-41  2.600e-41  7.204e-41  4.206e-41 
39 3.386e-41  2.745e-41  7.659e-41  4.445e-41 
40 3.588e-41  2.893e-41  8.130e-41  4.689e-41 
41 3.796e-41  3.045e-41  8.617e-41  4.938e-41 
42 4.011e-41  3.200e-41  9.120e-41  5.193e-41 
43 4.232e-41  3.359e-41  9.639e-41  5.453e-41 
44 4.459e-41  3.521e-41  1.018e-40  5.718e-41 
45 4.692e-41  3.686e-41  1.073e-40  5.988e-41 
46 4.932e-41  3.854e-41  1.130e-40  6.264e-41 
47 5.178e-41  4.026e-41  1.188e-40  6.544e-41 
48 5.430e-41  4.201e-41  1.248e-40  6.829e-41 
49 5.689e-41  4.379e-41  1.310e-40  7.119e-41 
50 5.954e-41  4.559e-41  1.374e-40  7.413e-41 
51 6.226e-41  4.743e-41  1.440e-40  7.712e-41 
52 6.504e-41  4.930e-41  1.507e-40  8.016e-41 
53 6.788e-41  5.120e-41  1.575e-40  8.324e-41 
54 7.079e-41  5.313e-41  1.646e-40  8.636e-41 
55 7.376e-41  5.509e-41  1.718e-40  8.953e-41 
60 8.957e-41  6.528e-41  2.107e-40  1.060e-40 
65 1.070e-40  7.612e-41  2.540e-40  1.233e-40 
70 1.260e-40  8.757e-41  3.018e-40  1.415e-40 
75 1.465e-40  9.959e-41  3.540e-40  1.606e-40 
80 1.686e-40  1.121e-40  4.108e-40  1.802e-40 
85 1.922e-40  1.250e-40  4.721e-40  2.004e-40 
90 2.172e-40  1.383e-40  5.378e-40  2.212e-40 
95 2.437e-40  1.520e-40  6.079e-40  2.424e-40 
100 2.715e-40  1.660e-40  6.824e-40  2.640e-40 
105 3.007e-40  1.803e-40  7.612e-40  2.859e-40 
