beta,chi2
0.0,183.1700897251001
0.01,183.1700897251001
0.02,183.1700897251001
0.03,183.1700897251001
0.04,183.1700897251001
0.05,183.1700897251001
0.06,183.1700897251001
0.07,183.1700897251001
0.08,183.1700897251001
0.09,183.1700897251001
0.1,183.1700897251001
0.11,183.1700897251001
0.12,183.1700897251001
0.13,183.1700897251001
0.14,183.1700897251001
0.15,183.1700897251001
0.16,183.1700897251001
0.17,183.1700897251001
0.18,183.1700897251001
0.19,183.1700897251001
0.2,183.1700897251001
