energy,sigma_e_eV2,sigma_x_eV2
2.38,4.2367755063653067e-41,8.104411785616048e-42
2.4,4.28096846458458e-41,8.182460082195496e-42
2.42,4.325186564489212e-41,8.260525060723128e-42
2.44,4.369429327250718e-41,8.338606431048185e-42
2.46,4.413696288164795e-41,8.416703912676061e-42
2.48,4.4579869961207245e-41,8.494817234341442e-42
2.5,4.5023010130938073e-41,8.572946133602851e-42
2.52,4.546637913659762e-41,8.65109035645748e-42
2.54,4.5909972845300175e-41,8.729249656975185e-42
2.56,4.635378724106919e-41,8.807423796950643e-42
2.58,4.679781842057882e-41,8.885612545572627e-42
2.6,4.724206258907627e-41,8.963815679109592e-42
2.62,4.768651605647628e-41,9.042032980610593e-42
2.64,4.813117523361968e-41,9.120264239620788e-42
2.66,4.857603662868852e-41,9.198509251910756e-42
2.68,4.902109684377032e-41,9.276767819218863e-42
2.7,4.946635257156468e-41,9.355039749006021e-42
2.72,4.991180059222571e-41,9.433324854222207e-42
2.74,5.035743777033376e-41,9.511622953084086e-42
2.76,5.080326105199115e-41,9.589933868863209e-42
2.78,5.124926746203549e-41,9.668257429684193e-42
2.8,5.169545410136592e-41,9.746593468332415e-42
2.82,5.214181814437687e-41,9.824941822070717e-42
2.84,5.258835683649444e-41,9.903302332464628e-42
2.86,5.303506749181098e-41,9.981674845215722e-42
2.88,5.348194749081353e-41,1.006005921000268e-41
2.9,5.392899427820173e-41,1.0138455280329634e-41
2.92,5.437620536079126e-41,1.0216862913381474e-41
2.94,5.482357830549945e-41,1.0295281969885752e-41
2.96,5.527111073740893e-41,1.037371231398083e-41
2.98,5.571880033790612e-41,1.0452153813089998e-41
3.0,5.616664484289138e-41,1.0530606337801234e-41
3.02,5.661464204105772e-41,1.0609069761752356e-41
3.04,5.706278977223488e-41,1.068754396152126e-41
3.06,5.751108592579621e-41,1.0766028816521032e-41
3.08,5.795952843912563e-41,1.0844524208899698e-41
3.1,5.840811529614189e-41,1.092303002344431e-41
3.12,5.885684452587806e-41,1.1001546147489297e-41
3.14,5.930571420111358e-41,1.1080072470828722e-41
3.16,5.975472243705681e-41,1.115860888563235e-41
3.18,6.020386739007599e-41,1.1237155286365336e-41
3.2,6.065314725647649e-41,1.1315711569711327e-41
3.22,6.110256027132255e-41,1.1394277634498808e-41
3.24,6.155210470730135e-41,1.1472853381630622e-41
3.26,6.200177887362827e-41,1.1551438714016374e-41
3.28,6.245158111499103e-41,1.1630033536507722e-41
3.3,6.290150971107097e-41,1.1708637736406487e-41
3.32,6.33515631642643e-41,1.1787251239815343e-41
3.34,6.380173993685479e-41,1.1865873960399016e-41
3.36,6.425203850503322e-41,1.1944505810071945e-41
3.38,6.470245737575821e-41,1.202314670241304e-41
3.4,6.515299508590105e-41,1.2101796552614655e-41
3.42,6.560365020141979e-41,1.2180455277433692e-41
3.44,6.605442131656212e-41,1.225912279514466e-41
3.46,6.650530705309506e-41,1.2337799025494593e-41
3.48,6.695630605956101e-41,1.2416483889659758e-41
3.5,6.740741701055895e-41,1.2495177310204118e-41
3.52,6.78586386060497e-41,1.257387921103933e-41
3.54,6.830996957068426e-41,1.2652589517386396e-41
3.56,6.87614086531547e-41,1.273130815573874e-41
3.58,6.921295462556629e-41,1.2810035053826713e-41
3.6,6.966460628283019e-41,1.288877014058347e-41
3.62,7.011636244207608e-41,1.296751334611209e-41
3.64,7.056822194208386e-41,1.304626460165402e-41
3.66,7.102018364273337e-41,1.312502383955859e-41
3.68,7.147224642447218e-41,1.3203790993253725e-41
3.7,7.192440918780003e-41,1.3282565997217733e-41
3.72,7.237667085276975e-41,1.3361348786952086e-41
3.74,7.282903035850379e-41,1.3440139298955208e-41
3.76,7.328148666272606e-41,1.3518937470697234e-41
3.78,7.37340387413081e-41,1.3597743240595588e-41
3.8,7.41866855878295e-41,1.3676556547991526e-41
3.82,7.463942621315178e-41,1.3755377333127417e-41
3.84,7.509225964500524e-41,1.3834205537124887e-41
3.86,7.554518492758851e-41,1.3913041101963657e-41
3.88,7.599820112118011e-41,1.3991883970461122e-41
3.9,7.64513073017615e-41,1.4070734086252677e-41
3.92,7.690450256065187e-41,1.414959139377263e-41
3.94,7.735778600415333e-41,1.4228455838235795e-41
3.96,7.781115675320666e-41,1.43073273656197e-41
3.98,7.826461394305745e-41,1.4386205922647368e-41
4.0,7.871815672293152e-41,1.4465091456770635e-41
4.02,7.917178425572007e-41,1.4543983916154052e-41
4.04,7.9625495717674e-41,1.4622883249659318e-41
4.06,8.007929029810653e-41,1.4701789406830102e-41
4.08,8.053316719910477e-41,1.478070233787748e-41
4.1,8.098712563524924e-41,1.4859621993665726e-41
4.12,8.14411648333413e-41,1.49385483256986e-41
4.14,8.189528403213814e-41,1.5017481286106028e-41
4.16,8.234948248209546e-41,1.509642082763119e-41
4.18,8.280375944511667e-41,1.517536690361803e-41
4.2,8.325811419430981e-41,1.525431946799908e-41
4.22,8.371254601375025e-41,1.5333278475283701e-41
4.24,8.416705419825044e-41,1.5412243880546653e-41
4.26,8.462163805313565e-41,1.5491215639416937e-41
4.28,8.507629689402586e-41,1.557019370806711e-41
4.3,8.553103004662316e-41,1.564917804320272e-41
4.32,8.598583684650532e-41,1.572816860205217e-41
4.34,8.644071663892415e-41,1.5807165342356807e-41
4.36,8.689566877860992e-41,1.5886168222361352e-41
4.38,8.735069262958008e-41,1.5965177200804466e-41
4.4,8.780578756495361e-41,1.6044192236909739e-41
4.42,8.826095296676976e-41,1.612321329037677e-41
4.44,8.871618822581155e-41,1.6202240321372608e-41
4.46,8.917149274143378e-41,1.6281273290523334e-41
4.48,8.962686592139553e-41,1.6360312158905912e-41
4.5,9.008230718169646e-41,1.6439356888040224e-41
4.52,9.053781594641787e-41,1.651840743988135e-41
4.54,9.099339164756709e-41,1.6597463776812025e-41
4.56,9.144903372492594e-41,1.6676525861635234e-41
4.58,9.190474162590335e-41,1.6755593657567096e-41
4.6,9.236051480539062e-41,1.6834667128229858e-41
4.62,9.281635272562142e-41,1.6913746237645075e-41
4.64,9.327225485603408e-41,1.6992830950226946e-41
4.66,9.372822067313802e-41,1.707192123077586e-41
4.68,9.418424966038266e-41,1.7151017044472017e-41
4.7,9.46403413080303e-41,1.723011835686929e-41
4.72,9.509649511303107e-41,1.7309225133889165e-41
4.74,9.555271057890171e-41,1.7388337341814856e-41
4.76,9.60089872156065e-41,1.7467454947285524e-41
4.78,9.646532453944136e-41,1.7546577917290701e-41
4.8,9.692172207292044e-41,1.7625706219164732e-41
4.82,9.737817934466559e-41,1.7704839820581467e-41
4.84,9.783469588929786e-41,1.7783978689548946e-41
4.86,9.82912712473323e-41,1.7863122794404346e-41
4.88,9.874790496507406e-41,1.7942272103808842e-41
4.9,9.920459655902486e-41,1.8021426580141114e-41
4.92,9.966134553561389e-41,1.8100586183185705e-41
4.94,1.0011815155016187e-40,1.817975089970616e-41
4.96,1.0057501417087105e-40,1.8258920699559754e-41
4.98,1.0103193297126493e-40,1.833809555290691e-41
5.0,1.0148890753009729e-40,1.8417275430206624e-41
5.02,1.0194593743126317e-40,1.8496460302212048e-41
5.04,1.0240302226371226e-40,1.8575650139966148e-41
5.06,1.0286016162136339e-40,1.8654844914797416e-41
5.08,1.0331735510302172e-40,1.8734044598315775e-41
5.1,1.0377460231229297e-40,1.88132491624077e-41
5.12,1.042319028575201e-40,1.8892458579235222e-41
5.14,1.0468925635168108e-40,1.8971672821227577e-41
5.16,1.0514666241232875e-40,1.905089186108034e-41
5.18,1.0560412066151207e-40,1.913011567175092e-41
5.2,1.0606163072570299e-40,1.9209344226454886e-41
5.22,1.065191922357249e-40,1.928857749866238e-41
5.24,1.0697680482668255e-40,1.9367815462094583e-41
5.26,1.0743446813789333e-40,1.944705809072022e-41
5.28,1.0789218181282019e-40,1.9526305358752218e-41
5.3,1.0834994549900572e-40,1.9605557240644332e-41
5.32,1.0880775884800763e-40,1.9684813711087906e-41
5.34,1.0926562151533561e-40,1.976407474500865e-41
5.36,1.0972353316038946e-40,1.984334031756353e-41
5.38,1.1018149344639839e-40,1.992261040413763e-41
5.4,1.1063950204036152e-40,2.0001884980341187e-41
5.42,1.110975586129897e-40,2.0081164022006557e-41
5.44,1.1155566283864846e-40,2.0160447505185342e-41
5.46,1.1201381439530196e-40,2.0239735406145529e-41
5.48,1.1247201296445811e-40,2.0319027701368656e-41
5.5,1.1293025823111489e-40,2.0398324367547047e-41
5.52,1.133885498837073e-40,2.0477625381581117e-41
5.54,1.1384688761405616e-40,2.0556930720576713e-41
5.56,1.1430527111731684e-40,2.0636240361842467e-41
5.58,1.1476370009192978e-40,2.0715554282887265e-41
5.6,1.1522217423957174e-40,2.0794872461417677e-41
5.62,1.1568069326510773e-40,2.087419487533551e-41
5.64,1.1613925687654432e-40,2.0953521502735347e-41
5.66,1.1659786478498317e-40,2.1032852321902152e-41
5.68,1.1705651670457994e-40,2.1112187311309578e-41
5.7,1.1751521235248498e-40,2.1191526449615035e-41
5.72,1.1797395144882168e-40,2.127086971566126e-41
5.74,1.1843273371662929e-40,2.1350217088471566e-41
5.76,1.1889155888182456e-40,2.1429568547248225e-41
5.78,1.1935042667276964e-40,2.1508924071309161e-41
5.8,1.1980933681221963e-40,2.1588283638833008e-41
5.82,1.2026828904403437e-40,2.1667647231041133e-41
5.84,1.2072728310522098e-40,2.1747014827827912e-41
5.86,1.211863187091243e-40,2.1826386405142655e-41
5.88,1.2164539562503642e-40,2.190576194742809e-41
5.9,1.2210451359824916e-40,2.19851414351341e-41
5.92,1.2256367237622486e-40,2.2064524848811022e-41
5.94,1.230228717089608e-40,2.2143912169170207e-41
5.96,1.2348211134895413e-40,2.2223303377082151e-41
5.98,1.2394139102246176e-40,2.230269844910212e-41
6.0,1.2440071050032838e-40,2.2382097368512362e-41
6.02,1.2486006955924105e-40,2.246150011928252e-41
6.04,1.2531946796129172e-40,2.2540906682890747e-41
6.06,1.257789054709084e-40,2.2620317040965685e-41
6.08,1.2623838185482382e-40,2.269973117528484e-41
6.1,1.2669789688204418e-40,2.2779149067772758e-41
6.12,1.2715745032381726e-40,2.2858570700499186e-41
6.14,1.2761704195360803e-40,2.2937996055678342e-41
6.16,1.2807667154706077e-40,2.301742511566583e-41
6.18,1.2853633884267281e-40,2.309685785684997e-41
6.2,1.2899604363849897e-40,2.317629426468766e-41
6.22,1.2945578573991891e-40,2.325573432558199e-41
6.24,1.2991556493094123e-40,2.333517802242782e-41
6.26,1.3037538099762117e-40,2.3414625338254873e-41
6.28,1.3083523372803356e-40,2.349407625622619e-41
6.3,1.3129512291224198e-40,2.3573530759635724e-41
6.32,1.317550483422916e-40,2.365298883191056e-41
6.34,1.3221500981215565e-40,2.373245045660394e-41
6.36,1.3267500711772893e-40,2.3811915617397544e-41
6.38,1.3313504005679876e-40,2.3891384298099127e-41
6.4,1.3359510842902046e-40,2.397085648264115e-41
6.42,1.3405521203589391e-40,2.4050332155079454e-41
6.44,1.3451535068073973e-40,2.4129811299591857e-41
6.46,1.3497552412195418e-40,2.420929389322607e-41
6.48,1.3543573218436819e-40,2.4288779923188257e-41
6.5,1.3589597470801936e-40,2.4368269378886765e-41
6.52,1.363562515031878e-40,2.444776224495896e-41
6.54,1.3681656238186632e-40,2.452725850615834e-41
6.56,1.372769071577395e-40,2.460675814735331e-41
6.58,1.3773728564616229e-40,2.468626115352594e-41
6.6,1.3819769766413943e-40,2.476576750977077e-41
6.62,1.3865814303030497e-40,2.4845277201293576e-41
6.64,1.3911862156490243e-40,2.4924790213410203e-41
6.66,1.3957913308976466e-40,2.5004306531545417e-41
6.68,1.400396774282949e-40,2.508382614123171e-41
6.7,1.405002544054472e-40,2.516334902810825e-41
6.72,1.4096086384770783e-40,2.524287517791964e-41
6.74,1.4142150558307675e-40,2.5322404576514957e-41
6.76,1.418821794410492e-40,2.540193720984654e-41
6.78,1.4234288525259797e-40,2.548147306396903e-41
6.8,1.4280362285015526e-40,2.556101212503821e-41
6.82,1.4326439206759591e-40,2.5640554379310056e-41
6.84,1.4372519266260144e-40,2.5720099801082125e-41
6.86,1.4418602453859796e-40,2.5799648387177253e-41
6.88,1.4464688754746963e-40,2.587920012628721e-41
6.9,1.4510778152858942e-40,2.5958755005042264e-41
6.92,1.455687063226927e-40,2.603831301016842e-41
6.94,1.4602966177186184e-40,2.611787412848646e-41
6.96,1.4649064771950966e-40,2.619743834691088e-41
6.98,1.4695166401036453e-40,2.627700565244904e-41
7.0,1.474127104904546e-40,2.635657603220019e-41
7.02,1.4787378700709303e-40,2.643614947335452e-41
7.04,1.48334893408863e-40,2.651572596319227e-41
7.06,1.4879602954560298e-40,2.659530548908281e-41
7.08,1.4925719526839254e-40,2.6674888038483783e-41
7.1,1.497183904295379e-40,2.6754473598940186e-41
7.12,1.5017961488255813e-40,2.6834062158083516e-41
7.14,1.5064086848217114e-40,2.6913653703630937e-41
7.16,1.5110215108428029e-40,2.69932482233844e-41
7.18,1.51563462545961e-40,2.707284570522984e-41
7.2,1.5202480272544736e-40,2.7152446137136357e-41
7.22,1.5248617148211912e-40,2.7232049507155357e-41
7.24,1.5294756867648914e-40,2.731165580341981e-41
7.26,1.5340899417019049e-40,2.7391265014143434e-41
7.28,1.5387044782596415e-40,2.7470877127619895e-41
7.3,1.5433192950764655e-40,2.7550492132222096e-41
7.32,1.5479343905145855e-40,2.763011001192052e-41
7.34,1.552549762782245e-40,2.7709730748195736e-41
7.36,1.5571654113198296e-40,2.778935434167563e-41
7.38,1.5617813341055629e-40,2.786898076861295e-41
7.4,1.5663975299711393e-40,2.7948610020252775e-41
7.42,1.5710139982157743e-40,2.802824209600103e-41
7.44,1.5756307375490487e-40,2.810787698472718e-41
7.46,1.5802477466906442e-40,2.8187514675375287e-41
7.48,1.5848650243702403e-40,2.8267155156963267e-41
7.5,1.5894825693273972e-40,2.8346798418582196e-41
7.52,1.594100380311456e-40,2.8426444449395576e-41
7.54,1.5987184560814268e-40,2.850609323863867e-41
7.56,1.6033367954059373e-40,2.85857447756186e-41
7.58,1.6079553970629355e-40,2.8665399049710487e-41
7.6,1.6125742598398736e-40,2.8745056050361496e-41
7.62,1.6171933825334205e-40,2.882471576708708e-41
7.64,1.621812763949409e-40,2.8904378189471057e-41
7.66,1.626432402902738e-40,2.898404330716501e-41
7.68,1.631052298217278e-40,2.906371110988763e-41
7.7,1.635672448725775e-40,2.9143381587424065e-41
7.72,1.6402928532697591e-40,2.9223054729625365e-41
7.74,1.6449135106994495e-40,2.930273052640781e-41
7.76,1.6495344198736654e-40,2.938240896775229e-41
7.78,1.6541555796597372e-40,2.946209004370379e-41
7.8,1.6587769889334154e-40,2.9541773744370743e-41
7.82,1.6633986465787861e-40,2.9621460059924433e-41
7.84,1.6680205514881828e-40,2.970114898059847e-41
7.86,1.6726427025621047e-40,2.978084049668816e-41
7.88,1.677265098709127e-40,2.9860534598550025e-41
7.9,1.681887738845825e-40,2.9940231276601185e-41
7.92,1.6865106218966885e-40,3.001993052131882e-41
7.94,1.6911337467940408e-40,3.009963232323966e-41
7.96,1.6957571120779567e-40,3.0179336666650946e-41
7.98,1.7003807163706372e-40,3.02590435370758e-41
8.0,1.7050045593844803e-40,3.033875293716708e-41
8.02,1.7096286400814134e-40,3.0418464857679123e-41
8.04,1.7142529574308398e-40,3.0498179289423626e-41
8.06,1.7188775104095641e-40,3.057789622326917e-41
8.08,1.7235022980016594e-40,3.0657615650139545e-41
8.1,1.7281273191986241e-40,3.07373375610178e-41
8.12,1.7327525729989684e-40,3.0817061946938973e-41
8.14,1.7373780584083663e-40,3.0896788798994076e-41
8.16,1.7420037744395327e-40,3.097651810832851e-41
8.18,1.746629720112152e-40,3.105624986614161e-41
8.2,1.7512558944528071e-40,3.1135984063686076e-41
8.22,1.7558822964949178e-40,3.1215720692267637e-41
8.24,1.7605089252786655e-40,3.129545974324448e-41
8.26,1.7651357798509338e-40,3.1375201208026834e-41
8.28,1.7697628592652416e-40,3.145494507807654e-41
8.3,1.774390162581675e-40,3.153469134490656e-41
8.32,1.7790176888668292e-40,3.161444000008059e-41
8.34,1.783645437193741e-40,3.1694191035212563e-41
8.36,1.7882734066418292e-40,3.1773944441966267e-41
8.38,1.792901596296834e-40,3.1853700212054885e-41
8.4,1.7975300052507527e-40,3.1933458337240594e-41
8.42,1.8021586326017843e-40,3.201321880933416e-41
8.44,1.8067874774542672e-40,3.20929816201945e-41
8.46,1.8114165389186242e-40,3.2172746761728305e-41
8.48,1.8160458161113002e-40,3.2252514225889577e-41
8.5,1.8206753081547113e-40,3.233228400467933e-41
8.52,1.8253050141771805e-40,3.2412056090145107e-41
8.54,1.8299349333128918e-40,3.249183047438063e-41
8.56,1.8345650647018281e-40,3.2571607149525435e-41
8.58,1.8391954074897185e-40,3.2651386107764436e-41
8.6,1.8438259608279886e-40,3.273116734132763e-41
8.62,1.848456723873702e-40,3.281095084248965e-41
8.64,1.8530876957895124e-40,3.289073660356942e-41
8.66,1.8577188757436082e-40,3.2970524616929826e-41
8.68,1.8623502629096655e-40,3.3050314874977323e-41
8.7,1.866981856466796e-40,3.3130107370161565e-41
8.72,1.8716136555994944e-40,3.320990209497512e-41
8.74,1.8762456594975937e-40,3.3289699041953044e-41
8.76,1.880877867356215e-40,3.3369498203672574e-41
8.78,1.8855102783757173e-40,3.344929957275282e-41
8.8,1.890142890620512e-40,3.352910312356788e-41
8.82,1.894775704397289e-40,3.3608908866386335e-41
8.84,1.899408718996985e-40,3.368871679515488e-41
8.86,1.9040419336396287e-40,3.3768526902643316e-41
8.88,1.9086753475502765e-40,3.3848339181661964e-41
8.9,1.9133089599589705e-40,3.3928153625061435e-41
8.92,1.917942770100691e-40,3.400797022573219e-41
8.94,1.922576777215314e-40,3.408778897660429e-41
8.96,1.9272109805475695e-40,3.4167609870647114e-41
8.98,1.93184537934699e-40,3.4247432900868904e-41
9.0,1.9364799728646734e-40,3.432725806026025e-41
9.02,1.9411147603660606e-40,3.4407085342019254e-41
9.04,1.9457497411116443e-40,3.4486914739212747e-41
9.06,1.950384914369769e-40,3.4566746245001705e-41
9.08,1.955020279413377e-40,3.464657985258461e-41
9.1,1.9596558355199693e-40,3.472641555519702e-41
9.12,1.9642915819715656e-40,3.4806253346111357e-41
9.14,1.9689275180546635e-40,3.4886093218636614e-41
9.16,1.9735636430601305e-40,3.4965935166116885e-41
9.18,1.978199956283446e-40,3.5045779181935667e-41
9.2,1.9828364570272927e-40,3.512562525956237e-41
9.22,1.9874731445895724e-40,3.520547339234177e-41
9.24,1.992110018281672e-40,3.5285323573815376e-41
9.26,1.996747077416158e-40,3.536517579750561e-41
9.28,2.00138432130981e-40,3.5445030056969517e-41
9.3,2.006021749283586e-40,3.5524886345798485e-41
9.32,2.010659360662587e-40,3.5604744657618005e-41
9.34,2.0152971547760213e-40,3.5684604986087403e-41
9.36,2.019935130957169e-40,3.5764467324899554e-41
9.38,2.024573288543349e-40,3.5844331667780694e-41
9.4,2.029211626875881e-40,3.5924198008490093e-41
9.42,2.0338501453000595e-40,3.6004066340819877e-41
9.44,2.038488843165111e-40,3.608393665859471e-41
9.46,2.0431277198241677e-40,3.616380895567162e-41
9.48,2.047766774634231e-40,3.6243683225939676e-41
9.5,2.0524060069561427e-40,3.6323559463319847e-41
9.52,2.057045416154549e-40,3.640343766176468e-41
9.54,2.061685001597871e-40,3.648331781525812e-41
9.56,2.066324762658275e-40,3.6563199917815246e-41
9.58,2.070964698711638e-40,3.6643083963482034e-41
9.6,2.0756048091375196e-40,3.6722969946335163e-41
9.62,2.0802450933191298e-40,3.68028578604818e-41
9.64,2.084885550643302e-40,3.688274770005931e-41
9.66,2.0895261805004605e-40,3.6962639459235087e-41
9.68,2.0941669822845902e-40,3.704253313220632e-41
9.7,2.0988079553932127e-40,3.71224287131998e-41
9.72,2.1034490992273524e-40,3.7202326196471655e-41
9.74,2.1080904131915103e-40,3.72822255763072e-41
9.76,2.112731896693635e-40,3.736212684702066e-41
9.78,2.1173735491450956e-40,3.744203000295502e-41
9.8,2.1220153699606545e-40,3.752193503848177e-41
9.82,2.1266573585584386e-40,3.760184194800075e-41
9.84,2.1312995143599127e-40,3.7681750725939895e-41
9.86,2.1359418367898553e-40,3.776166136675508e-41
9.88,2.140584324183141e-40,3.784157384701795e-41
9.9,2.1452269769125454e-40,3.792148817666821e-41
9.92,2.1498697945923674e-40,3.8001404353189514e-41
9.94,2.1545127766596886e-40,3.8081322371136193e-41
9.96,2.159155922554788e-40,3.816124222508974e-41
9.98,2.1637992317211163e-40,3.824116390965868e-41
10.0,2.168442703605274e-40,3.8321087419478376e-41
10.02,2.1730863376569847e-40,3.8401012749210834e-41
10.04,2.1777301333290693e-40,3.848093989354451e-41
10.06,2.1823740900774226e-40,3.8560868847194096e-41
10.08,2.1870182073609883e-40,3.864079960490036e-41
10.1,2.191662484641737e-40,3.872073216142996e-41
10.12,2.196306921384641e-40,3.8800666511575264e-41
10.14,2.2009515170576483e-40,3.8880602650154134e-41
10.16,2.205596271131665e-40,3.8960540572009803e-41
10.18,2.2102411830805287e-40,3.904048027201064e-41
10.2,2.2148862523809843e-40,3.9120421745050025e-41
10.22,2.2195314785126666e-40,3.9200364986046125e-41
10.24,2.224176860958071e-40,3.928030998994175e-41
10.26,2.2288223992025374e-40,3.936025675170418e-41
10.28,2.2334680927342278e-40,3.944020526632501e-41
