energy,results
0.02,0.6210884853578771
0.04,0.6169756012250278
0.06,0.6126288650242717
0.08,0.6081958213158576
0.1,0.6036785546362626
0.12,0.5990341019838672
0.14,0.5942658444132314
0.16,0.5924359425556808
0.18,0.5843612712505486
0.2,0.5792356617613658
0.22,0.5753579075989741
0.24,0.5686359356976692
0.26,0.5631787222638039
0.28,0.5576248373618826
0.3,0.5525594229881592
0.32,0.5415773018616071
0.34,0.5406797355885977
0.36,0.5345675191596376
0.38,0.5286282879644693
0.4,0.5226447232492855
0.42,0.5166214595493832
0.44,0.5105686909428245
0.46,0.5044979023264003
0.48,0.4984220867884355
0.5,0.49234853464584316
0.52,0.48628010046952713
0.54,0.4802439241996196
0.56,0.474240827740429
0.58,0.4681935683021882
0.6,0.47753707718736865
0.62,0.45861874317833884
0.64,0.45285542074451385
0.66,0.4453905744835425
0.68,0.43857967856178465
0.7,0.43397500911631376
0.72,0.4285689653261296
0.74,0.42327337193800274
0.76,0.41809196556973127
0.78,0.4130244965444026
0.8,0.408074124817146
0.82,0.4032469303059579
0.84,0.3985339458831338
0.86,0.39395445136774837
0.88,0.3895039785903237
0.9,0.3851877955301158
0.92,0.3809876008286409
0.94,0.376906970355666
0.96,0.3729710611568938
0.98,0.36914340471753687
1.0,0.36544374575000055
1.02,0.36186336645810085
1.04,0.35839907539760507
1.06,0.355058540939012
1.08,0.3518271915195218
1.1,0.34869668877384163
1.12,0.3456835952589305
1.14,0.3427746258699165
1.16,0.33996843445930836
1.18,0.3372609491734783
1.2,0.3346455905234608
1.22,0.33213598759468244
1.24,0.3296972761771739
1.26,0.32735554024875146
1.28,0.3251060886325482
1.3,0.32291659173207965
1.32,0.32082761658700343
1.34,0.31880056031954573
1.36,0.31684055982056963
1.38,0.3149571022093828
1.4,0.3131504434170313
1.42,0.31139849433146566
1.44,0.309703352229344
1.46,0.3080774101259266
1.48,0.30651165804064273
1.5,0.3049941563578978
1.52,0.3035211241723939
1.54,0.3021203723062423
1.56,0.3007564241035793
1.58,0.2994373039671749
1.6,0.2981648755163595
1.62,0.2969370325402321
1.64,0.2957510024574737
1.66,0.29460949993688296
1.68,0.2934917101224916
1.7,0.2924290207045174
1.72,0.2913848216960182
1.74,0.2903908590407144
1.76,0.2894159660618972
1.78,0.2884801448685015
1.8,0.28758267671722915
1.82,0.2867054681258785
1.84,0.28584779935861826
1.86,0.2850267594788745
1.88,0.2842301121444928
1.9,0.2834678075570848
1.92,0.282722742528887
1.94,0.2819893119015131
1.96,0.2812968049131038
1.98,0.2806153421966797
2.0,0.27995377832121576
2.02,0.2793087607340289
2.04,0.27868336913217173
2.06,0.2780855188978586
2.08,0.27750480402017463
2.1,0.27693750930978867
2.12,0.2763845641976608
2.14,0.2758520744008143
2.16,0.27531986915148454
2.18,0.27482041577173144
2.2,0.27433094793230783
2.22,0.2738465799810588
2.24,0.27338814439263154
2.26,0.27292993479726707
2.28,0.272496215387679
2.3,0.2720673855409452
2.32,0.27164676169620905
2.34,0.2712541640772236
2.36,0.27084867853293976
2.38,0.27046631957547856
2.4,0.27009315868410033
2.42,0.2697273307077741
2.44,0.2693833007358416
2.46,0.269029906327644
2.48,0.2687035412798644
2.5,0.26837311091764393
2.52,0.2680525998848643
2.54,0.2677439237728655
2.56,0.2674351579436148
2.58,0.2671333815849789
2.6,0.26685027966410513
2.62,0.2665704233780426
2.64,0.26628871772663015
2.66,0.26601828073315503
2.68,0.2657589490105183
2.7,0.2655085457573088
2.72,0.26525061765666735
2.74,0.26500752686811113
2.76,0.2647665502514467
2.78,0.2645417598650858
2.8,0.2643088168679279
2.82,0.26408208055526916
2.84,0.26386449423219316
2.86,0.2636559299550832
2.88,0.26345182718659305
2.9,0.26323955684407063
2.92,0.26304215918152246
2.94,0.2628484964506418
2.96,0.2626606403153265
2.98,0.26246491619316586
3.0,0.2622864711166503
3.02,0.26211274774750853
3.04,0.2619396395922659
3.06,0.26176713790496187
3.08,0.2615949141909648
3.1,0.2614260710786395
3.12,0.26127187554191034
3.14,0.2611182588668485
3.16,0.2609539872368308
3.18,0.26081416657704765
3.2,0.2606569039090209
3.22,0.2605134940287901
3.24,0.2603789704841286
3.26,0.26023608696825956
3.28,0.26009443798686893
3.3,0.2599580983379215
3.32,0.2598264438362258
3.34,0.2596993063955705
3.36,0.25957697852089795
3.38,0.25945790773058447
3.4,0.25933231215710506
3.42,0.25920496524886805
3.44,0.259097916099722
3.46,0.25897763193589596
3.48,0.25886619161483304
3.5,0.2587540740449523
3.52,0.2586507227536978
3.54,0.25853362531895197
3.56,0.2584368166197902
3.58,0.25833731624679807
3.6,0.25823002922694616
3.62,0.2581259369102111
3.64,0.25802791027759364
3.66,0.25793341016334076
3.68,0.2578394729914821
3.7,0.25774624145746483
3.72,0.25765430816130097
3.74,0.25756671588809055
3.76,0.2574843824910769
3.78,0.2574029624403454
3.8,0.2573125276967522
3.82,0.2572227856833371
3.84,0.25715083852513193
3.86,0.2570657957201588
3.88,0.2569838960443191
3.9,0.2569129333016207
3.92,0.2568278006358269
3.94,0.25676000521574016
3.96,0.2566814370004212
3.98,0.2566061849794204
4.0,0.25654324921060373
4.02,0.2564635245882133
4.04,0.2563928404673386
4.06,0.256332682693768
4.08,0.25626614554542043
4.1,0.25619380139700865
4.12,0.25612429630016464
4.14,0.2560593435586474
4.16,0.25599740860851106
4.18,0.2559366527293134
4.2,0.25587610908424574
4.22,0.2558152754307408
4.24,0.25575437331871825
4.26,0.2556941670384302
4.28,0.255635900486771
4.3,0.25558162181986577
