beta,delta_chi2,chi2
0.0,0.0,31.037357494534746
0.005172413793103448,0.4064874105413061,31.443844905076052
0.010344827586206896,2.261258617578221,33.29861611211297
0.015517241379310345,7.169608256808033,38.20696575134278
0.020689655172413793,16.959230116032096,47.99658761056684
0.02586206896551724,32.85441353267624,63.891771027210986
0.03103448275862069,54.940642556450996,85.97800005098574
0.03620689655172414,82.10022515525483,113.13758264978958
0.041379310344827586,112.35972090609067,143.39707840062542
0.04655172413793103,143.43493160713177,174.47228910166652
0.05172413793103448,173.24225355989077,204.27961105442552
0.056896551724137934,200.22978546307698,231.26714295761172
0.06206896551724138,223.4932283869264,254.53058588146115
0.06724137931034482,242.7224221292552,273.75977962378994
0.07241379310344828,258.0554002942116,289.0927577887463
0.07758620689655173,269.90925180868635,300.94660930322107
0.08275862068965517,278.8321295709703,309.86948706550504
0.08793103448275862,285.3953883438047,316.43274583833943
0.09310344827586206,290.12710837070483,321.16446586523955
0.09827586206896552,293.4792322438125,324.5165897383472
0.10344827586206896,295.8179463385552,326.8553038330899
0.10862068965517241,297.42791216630326,328.465269660838
0.11379310344827587,298.52330079529884,329.56065828983355
0.11896551724137931,299.26102475933794,330.29838225387266
0.12413793103448276,299.7535350882083,330.790892582743
0.12931034482758622,300.0799264252739,331.11728391980864
0.13448275862068965,300.2949446577794,331.3323021523141
0.1396551724137931,300.4359573911722,331.47331488570694
0.14482758620689656,300.52816153079596,331.5655190253307
0.15,300.5883677639971,331.6257252585318
