beta,delta_chi2,chi2
0.0,0.0,23.25315395314604
0.005172413793103448,0.1050841738003001,23.35823812694634
0.010344827586206896,6.791233094007474,30.044387047153513
0.015517241379310345,36.00974126802768,59.26289522117372
0.020689655172413793,105.56193654888432,128.81509050203036
0.02586206896551724,226.8961033461628,250.14925729930883
0.03103448275862069,400.2914828008646,423.54463675401064
0.03620689655172414,614.9740567498637,638.2272107030097
0.041379310344827586,853.0848392665173,876.3379932196633
0.04655172413793103,1095.031975365223,1118.285129318369
0.05172413793103448,1323.960699070656,1347.213853023802
0.056896551724137934,1528.204183630355,1551.457337583501
0.06206896551724138,1701.7301602527134,1724.9833142058594
0.06724137931034482,1843.248309670484,1866.5014636236301
0.07241379310344828,1954.7545176976375,1978.0076716507835
0.07758620689655173,2040.0851938178275,2063.3383477709735
0.08275862068965517,2103.776516363328,2127.029670316474
0.08793103448275862,2150.3054924965213,2173.5586464496673
0.09310344827586206,2183.667400637107,2206.9205545902532
0.09827586206896552,2207.199078769371,2230.4522327225172
0.10344827586206896,2223.5576001388185,2246.8107540919646
0.10862068965517241,2234.7830825560745,2258.0362365092205
0.11379310344827587,2242.397168245136,2265.650322198282
0.11896551724137931,2247.5080251692034,2270.7611791223494
0.12413793103448276,2250.9065912961673,2274.1597452493133
0.12931034482758622,2253.1476560174187,2276.4008099705648
0.13448275862068965,2254.6144874472275,2277.8676414003735
0.1396551724137931,2255.56831970189,2278.821473655036
0.14482758620689656,2256.1850891561667,2279.4382431093127
0.15,2256.58202778354,2279.835181736686
