beta,delta_chi2,chi2
0.0,0.0,31.55138496597644
0.005172413793103448,1.751052165818713,33.30243713179515
0.010344827586206896,8.521648243901367,40.073033209877806
0.015517241379310345,24.05310495638377,55.60448992236021
0.020689655172413793,52.33222663564655,83.88361160162299
0.02586206896551724,95.51013866015981,127.06152362613625
0.03103448275862069,152.72634002458267,184.2777249905591
0.03620689655172414,220.24276084780382,251.79414581378026
0.041379310344827586,292.5966109014789,324.1479958674554
0.04655172413793103,364.10197456691185,395.6533595328883
0.05172413793103448,430.07759425251993,461.6289792184964
0.056896551724137934,487.4858252963734,519.0372102623498
0.06206896551724138,534.9917176025808,566.5431025685573
0.06724137931034482,572.639869137485,604.1912541034615
0.07241379310344828,601.3811225480509,632.9325075140274
0.07758620689655173,622.6210784031407,654.1724633691172
0.08275862068965517,637.877193982885,669.4285789488615
0.08793103448275862,648.5633143241547,680.1146992901312
0.09310344827586206,655.8823689580707,687.4337539240472
0.09827586206896552,660.7947231895544,692.3461081555308
0.10344827586206896,664.0311592126434,695.5825441786199
0.10862068965517241,666.1270234923172,697.6784084582937
0.11379310344827587,667.4624375609385,699.013822526915
0.11896551724137931,668.3002574474707,699.8516424134472
0.12413793103448276,668.8181052449856,700.3694902109621
0.12931034482758622,669.1335570681011,700.6849420340776
0.13448275862068965,669.3229868157407,700.8743717817172
0.1396551724137931,669.4351382302488,700.9865231962252
0.14482758620689656,669.5006047330152,701.0519896989916
0.15,669.5382812373356,701.089666203312
